STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	42	-4	4	59	-32	-13	-999	-999	4	2022
ALASKA	0	0	0	0	0	0	-999	-999	4	2022
ARIZONA	125	15	11	158	-4	24	-2	18	4	2022
ARKANSAS	37	3	22	37	-17	20	-999	-999	4	2022
CALIFORNIA	9	-13	5	9	-25	5	-999	-999	4	2022
COLORADO	0	0	0	0	0	0	-999	-999	4	2022
CONNECTICUT	0	0	0	0	0	0	-999	-999	4	2022
DELAWARE	6	4	-11	6	4	-15	-999	-999	4	2022
DISTRCT COLUMBIA	22	1	-11	24	-1	-15	-999	-999	4	2022
FLORIDA	269	72	30	664	139	5	26	1	4	2022
GEORGIA	21	-16	-6	34	-40	-13	-999	-999	4	2022
HAWAII	378	77	50	1266	242	44	24	4	4	2022
IDAHO	0	-1	-2	0	-1	-2	-999	-999	4	2022
ILLINOIS	5	2	-2	5	1	-2	-999	-999	4	2022
INDIANA	7	3	3	7	1	3	-999	-999	4	2022
IOWA	0	-4	-3	0	-5	-3	-999	-999	4	2022
KANSAS	16	2	7	16	-6	7	-999	-999	4	2022
KENTUCKY	22	11	11	22	2	11	-999	-999	4	2022
LOUISIANA	156	48	28	250	39	-16	18	-6	4	2022
MAINE	0	0	0	0	0	0	-999	-999	4	2022
MARYLAND	7	4	-6	7	4	-9	-999	-999	4	2022
MASSACHUSETTS	0	0	0	0	0	0	-999	-999	4	2022
MICHIGAN	0	-1	0	0	-1	0	-999	-999	4	2022
MINNESOTA	0	-2	0	0	-2	0	-999	-999	4	2022
MISSISSIPPI	70	7	20	97	-22	-10	-18	-9	4	2022
MISSOURI	9	-3	0	9	-9	0	-999	-999	4	2022
MONTANA	0	0	0	0	0	0	-999	-999	4	2022
NEBRASKA	3	-2	-2	3	-4	-2	-999	-999	4	2022
NEVADA	11	-44	-4	17	-58	2	-999	-999	4	2022
NEW HAMPSHIRE	0	0	0	0	0	0	-999	-999	4	2022
NEW JERSEY	3	3	-1	3	3	-2	-999	-999	4	2022
NEW MEXICO	11	3	9	11	3	9	-999	-999	4	2022
NEW YORK	0	0	0	0	0	0	-999	-999	4	2022
NORTH CAROLINA	25	9	0	30	0	0	-999	-999	4	2022
NORTH DAKOTA	0	-2	0	0	-2	0	-999	-999	4	2022
OHIO	9	7	4	9	6	4	-999	-999	4	2022
OKLAHOMA	36	1	23	36	-16	22	-999	-999	4	2022
OREGON	0	0	0	0	0	0	-999	-999	4	2022
PENNSYLVANIA	1	0	-1	1	0	-1	-999	-999	4	2022
RHODE ISLAND	0	0	0	0	0	0	-999	-999	4	2022
SOUTH CAROLINA	39	2	1	55	-16	-2	-999	-999	4	2022
SOUTH DAKOTA	0	-3	-1	0	-3	-1	-999	-999	4	2022
TENNESSEE	23	6	16	24	-7	17	-999	-999	4	2022
TEXAS	211	94	86	285	74	70	35	33	4	2022
UTAH	0	-4	-1	0	-4	-1	-999	-999	4	2022
VERMONT	0	0	0	0	0	0	-999	-999	4	2022
VIRGINIA	15	9	-2	16	8	-5	-999	-999	4	2022
WASHINGTON	0	0	0	0	0	0	-999	-999	4	2022
WEST VIRGINIA	11	8	9	11	6	9	-999	-999	4	2022
WISCONSIN	0	-1	0	0	-1	0	-999	-999	4	2022
WYOMING	0	0	0	0	0	0	-999	-999	4	2022
