STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	32	-14	-10	82	-9	23	-999	-999	4	2023
ALASKA	0	0	0	0	0	0	-999	-999	4	2023
ARIZONA	85	-25	-40	86	-76	-72	-47	-46	4	2023
ARKANSAS	19	-15	-18	21	-33	-16	-999	-999	4	2023
CALIFORNIA	1	-21	-8	1	-33	-8	-999	-999	4	2023
COLORADO	0	0	0	0	0	0	-999	-999	4	2023
CONNECTICUT	3	3	3	3	3	3	-999	-999	4	2023
DELAWARE	21	19	15	21	19	15	-999	-999	4	2023
DISTRCT COLUMBIA	62	41	40	64	39	40	-999	-999	4	2023
FLORIDA	274	77	5	719	194	55	37	8	4	2023
GEORGIA	27	-10	6	55	-19	21	-999	-999	4	2023
HAWAII	372	71	-6	1324	300	58	29	5	4	2023
IDAHO	1	0	1	1	0	1	-999	-999	4	2023
ILLINOIS	6	3	1	6	2	1	-999	-999	4	2023
INDIANA	2	-2	-5	2	-4	-5	-999	-999	4	2023
IOWA	6	2	6	6	1	6	-999	-999	4	2023
KANSAS	6	-8	-10	6	-16	-10	-999	-999	4	2023
KENTUCKY	8	-3	-14	8	-12	-14	-999	-999	4	2023
LOUISIANA	111	3	-45	288	77	38	36	15	4	2023
MAINE	0	0	0	0	0	0	-999	-999	4	2023
MARYLAND	20	17	13	20	17	13	-999	-999	4	2023
MASSACHUSETTS	3	3	3	3	3	3	-999	-999	4	2023
MICHIGAN	3	2	3	3	2	3	-999	-999	4	2023
MINNESOTA	0	-2	0	0	-2	0	-999	-999	4	2023
MISSISSIPPI	40	-23	-30	114	-5	17	-4	18	4	2023
MISSOURI	5	-7	-4	5	-13	-4	-999	-999	4	2023
MONTANA	0	0	0	0	0	0	-999	-999	4	2023
NEBRASKA	8	3	5	8	1	5	-999	-999	4	2023
NEVADA	24	-31	13	24	-51	7	-999	-999	4	2023
NEW HAMPSHIRE	0	0	0	0	0	0	-999	-999	4	2023
NEW JERSEY	15	15	12	15	15	12	-999	-999	4	2023
NEW MEXICO	1	-7	-10	1	-7	-10	-999	-999	4	2023
NEW YORK	11	11	11	11	11	11	-999	-999	4	2023
NORTH CAROLINA	19	3	-6	22	-8	-8	-999	-999	4	2023
NORTH DAKOTA	0	-2	0	0	-2	0	-999	-999	4	2023
OHIO	1	-1	-8	1	-2	-8	-999	-999	4	2023
OKLAHOMA	18	-17	-18	19	-33	-17	-999	-999	4	2023
OREGON	1	1	1	1	1	1	-999	-999	4	2023
PENNSYLVANIA	3	2	2	3	2	2	-999	-999	4	2023
RHODE ISLAND	2	2	2	2	2	2	-999	-999	4	2023
SOUTH CAROLINA	50	13	11	80	9	25	-999	-999	4	2023
SOUTH DAKOTA	3	0	3	3	0	3	-999	-999	4	2023
TENNESSEE	11	-6	-12	14	-17	-10	-999	-999	4	2023
TEXAS	121	4	-90	260	49	-25	23	-9	4	2023
UTAH	0	-4	0	0	-4	0	-999	-999	4	2023
VERMONT	0	0	0	0	0	0	-999	-999	4	2023
VIRGINIA	23	17	8	23	15	7	-999	-999	4	2023
WASHINGTON	0	0	0	0	0	0	-999	-999	4	2023
WEST VIRGINIA	2	-1	-9	2	-3	-9	-999	-999	4	2023
WISCONSIN	4	3	4	4	3	4	-999	-999	4	2023
WYOMING	0	0	0	0	0	0	-999	-999	4	2023
