STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	436	7	-34	1699	202	136	13	9	8	2022
ALASKA	1	-1	-6	12	-1	-17	-999	-999	8	2022
ARIZONA	527	-86	-23	2160	-62	37	-3	2	8	2022
ARKANSAS	449	9	-52	1670	208	203	14	14	8	2022
CALIFORNIA	335	102	48	812	128	-9	19	-1	8	2022
COLORADO	168	87	10	514	259	21	102	4	8	2022
CONNECTICUT	314	129	36	741	218	36	42	5	8	2022
DELAWARE	381	82	-24	1128	214	-109	23	-9	8	2022
DISTRCT COLUMBIA	484	77	-11	1489	190	-15	15	-1	8	2022
FLORIDA	523	2	-26	2574	193	-35	8	-1	8	2022
GEORGIA	408	12	-29	1548	167	136	12	10	8	2022
HAWAII	500	11	4	3079	336	-21	12	-1	8	2022
IDAHO	262	107	81	569	155	-159	37	-22	8	2022
ILLINOIS	255	18	-77	928	148	-41	19	-4	8	2022
INDIANA	238	5	-79	849	61	-65	8	-7	8	2022
IOWA	230	7	-39	854	95	-40	13	-4	8	2022
KANSAS	426	34	-11	1387	151	152	12	12	8	2022
KENTUCKY	317	12	-54	1161	162	59	16	5	8	2022
LOUISIANA	452	-66	-71	2073	85	59	4	3	8	2022
MAINE	124	40	-24	325	105	-38	48	-10	8	2022
MARYLAND	374	87	-12	1090	200	-41	22	-4	8	2022
MASSACHUSETTS	282	131	27	665	243	41	58	7	8	2022
MICHIGAN	173	11	-75	532	11	-122	2	-19	8	2022
MINNESOTA	143	11	-47	507	50	-143	11	-22	8	2022
MISSISSIPPI	471	9	-34	1905	242	177	15	10	8	2022
MISSOURI	357	22	-32	1248	166	110	15	10	8	2022
MONTANA	166	79	58	357	128	-97	56	-21	8	2022
NEBRASKA	309	34	-6	1042	140	54	16	5	8	2022
NEVADA	481	12	19	1457	-114	-134	-7	-8	8	2022
NEW HAMPSHIRE	207	106	7	477	184	-16	63	-3	8	2022
NEW JERSEY	351	122	23	913	228	2	33	0	8	2022
NEW MEXICO	192	-44	-18	766	-24	1	-3	0	8	2022
NEW YORK	307	112	17	742	183	-6	33	-1	8	2022
NORTH CAROLINA	372	24	-44	1387	231	102	20	8	8	2022
NORTH DAKOTA	164	25	-13	482	54	-178	13	-27	8	2022
OHIO	227	27	-82	757	103	-121	16	-14	8	2022
OKLAHOMA	531	44	43	1830	274	444	18	32	8	2022
OREGON	178	91	19	383	180	-93	89	-20	8	2022
PENNSYLVANIA	264	70	-46	731	137	-114	23	-13	8	2022
RHODE ISLAND	290	121	26	669	233	28	53	4	8	2022
SOUTH CAROLINA	439	22	-29	1706	242	185	17	12	8	2022
SOUTH DAKOTA	247	37	-4	755	87	-84	13	-10	8	2022
TENNESSEE	356	14	-17	1326	194	198	17	18	8	2022
TEXAS	591	42	23	2562	501	510	24	25	8	2022
UTAH	226	16	23	688	84	-103	14	-13	8	2022
VERMONT	119	31	-54	283	19	-99	7	-26	8	2022
VIRGINIA	336	52	-43	1109	211	-41	23	-4	8	2022
WASHINGTON	157	81	32	332	155	-50	88	-13	8	2022
WEST VIRGINIA	259	45	-54	854	181	2	27	0	8	2022
WISCONSIN	131	-17	-67	473	6	-132	1	-22	8	2022
WYOMING	148	54	25	372	95	-91	34	-20	8	2022
