STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	500	71	64	1594	97	-105	6	-6	8	2023
ALASKA	0	-2	-1	20	7	8	-999	-999	8	2023
ARIZONA	629	16	102	2032	-190	-128	-9	-6	8	2023
ARKANSAS	523	83	74	1611	149	-59	10	-4	8	2023
CALIFORNIA	266	33	-69	630	-54	-182	-8	-22	8	2023
COLORADO	144	63	-24	378	123	-135	48	-26	8	2023
CONNECTICUT	172	-13	-142	558	35	-181	7	-24	8	2023
DELAWARE	311	12	-70	965	51	-163	6	-14	8	2023
DISTRCT COLUMBIA	394	-13	-90	1316	17	-175	1	-12	8	2023
FLORIDA	544	23	21	2598	217	24	9	1	8	2023
GEORGIA	454	58	46	1405	24	-143	2	-9	8	2023
HAWAII	494	5	-6	3173	430	95	16	3	8	2023
IDAHO	177	22	-85	488	74	-81	18	-14	8	2023
ILLINOIS	249	12	-6	791	11	-137	1	-15	8	2023
INDIANA	205	-28	-33	653	-135	-196	-17	-23	8	2023
IOWA	255	32	25	789	30	-65	4	-8	8	2023
KANSAS	430	38	4	1229	-7	-158	-1	-11	8	2023
KENTUCKY	293	-12	-24	929	-70	-232	-7	-20	8	2023
LOUISIANA	625	107	173	2183	195	110	10	5	8	2023
MAINE	43	-41	-81	280	60	-45	27	-14	8	2023
MARYLAND	307	20	-67	889	-1	-201	0	-18	8	2023
MASSACHUSETTS	122	-29	-160	484	62	-181	15	-27	8	2023
MICHIGAN	95	-67	-78	368	-153	-164	-29	-31	8	2023
MINNESOTA	165	33	22	541	84	34	18	7	8	2023
MISSISSIPPI	597	135	126	1923	260	18	16	1	8	2023
MISSOURI	352	17	-5	1113	31	-135	3	-11	8	2023
MONTANA	116	29	-50	286	57	-71	25	-20	8	2023
NEBRASKA	299	24	-10	919	17	-123	2	-12	8	2023
NEVADA	389	-80	-92	1263	-308	-194	-20	-13	8	2023
NEW HAMPSHIRE	69	-32	-138	344	51	-133	17	-28	8	2023
NEW JERSEY	231	2	-120	701	16	-212	2	-23	8	2023
NEW MEXICO	239	3	47	811	21	45	3	6	8	2023
NEW YORK	185	-10	-122	606	47	-137	8	-18	8	2023
NORTH CAROLINA	393	45	21	1177	21	-210	2	-15	8	2023
NORTH DAKOTA	141	2	-23	509	81	27	19	6	8	2023
OHIO	174	-26	-53	542	-112	-215	-17	-28	8	2023
OKLAHOMA	556	69	25	1590	34	-240	2	-13	8	2023
OREGON	167	80	-11	386	183	3	90	1	8	2023
PENNSYLVANIA	179	-15	-85	546	-48	-185	-8	-25	8	2023
RHODE ISLAND	144	-25	-146	500	64	-169	15	-25	8	2023
SOUTH CAROLINA	486	69	47	1509	45	-197	3	-12	8	2023
SOUTH DAKOTA	232	22	-15	708	40	-47	6	-6	8	2023
TENNESSEE	343	1	-13	1099	-33	-227	-3	-17	8	2023
TEXAS	708	159	117	2470	409	-92	20	-4	8	2023
UTAH	207	-3	-19	614	10	-74	2	-11	8	2023
VERMONT	19	-69	-100	194	-70	-89	-27	-31	8	2023
VIRGINIA	313	29	-23	947	49	-162	5	-15	8	2023
WASHINGTON	129	53	-28	323	146	-9	82	-3	8	2023
WEST VIRGINIA	213	-1	-46	661	-12	-193	-2	-23	8	2023
WISCONSIN	148	0	17	438	-29	-35	-6	-7	8	2023
WYOMING	102	8	-46	241	-36	-131	-13	-35	8	2023
