STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	6	0	-13	2003	138	-19	7	-1	12	2022
ALASKA	0	0	0	12	-1	-17	-999	-999	12	2022
ARIZONA	0	-1	-3	2747	-114	33	-4	1	12	2022
ARKANSAS	0	-1	-2	1977	215	105	12	6	12	2022
CALIFORNIA	0	-1	0	1130	225	100	25	10	12	2022
COLORADO	0	0	0	588	315	16	115	3	12	2022
CONNECTICUT	0	0	0	796	229	8	40	1	12	2022
DELAWARE	0	0	0	1306	249	-201	24	-13	12	2022
DISTRCT COLUMBIA	0	0	0	1771	240	-84	16	-5	12	2022
FLORIDA	104	2	-59	3603	182	-137	5	-4	12	2022
GEORGIA	0	-5	-4	1807	106	33	6	2	12	2022
HAWAII	322	36	19	4774	473	44	11	1	12	2022
IDAHO	0	0	0	660	204	-122	45	-16	12	2022
ILLINOIS	0	0	0	1059	184	-110	21	-9	12	2022
INDIANA	0	0	0	956	62	-147	7	-13	12	2022
IOWA	0	0	0	970	132	-73	16	-7	12	2022
KANSAS	0	0	0	1612	171	103	12	7	12	2022
KENTUCKY	0	-1	0	1324	150	-23	13	-2	12	2022
LOUISIANA	45	29	-58	2625	50	-112	2	-4	12	2022
MAINE	0	0	0	341	113	-29	50	-8	12	2022
MARYLAND	0	0	0	1247	223	-82	22	-6	12	2022
MASSACHUSETTS	0	0	0	694	242	12	54	2	12	2022
MICHIGAN	0	0	0	589	21	-132	4	-18	12	2022
MINNESOTA	0	0	0	567	84	-143	17	-20	12	2022
MISSISSIPPI	13	6	-25	2289	210	36	10	2	12	2022
MISSOURI	0	0	0	1421	171	36	14	3	12	2022
MONTANA	0	0	0	405	157	-75	63	-16	12	2022
NEBRASKA	0	0	0	1202	194	56	19	5	12	2022
NEVADA	0	0	0	1835	-86	-37	-4	-2	12	2022
NEW HAMPSHIRE	0	0	0	496	192	-24	63	-5	12	2022
NEW JERSEY	0	0	0	1026	260	-13	34	-1	12	2022
NEW MEXICO	0	0	0	886	-7	-20	-1	-2	12	2022
NEW YORK	0	0	0	816	195	-20	31	-2	12	2022
NORTH CAROLINA	0	-2	0	1611	224	31	16	2	12	2022
NORTH DAKOTA	0	0	0	531	79	-195	17	-27	12	2022
OHIO	0	0	0	852	114	-190	15	-18	12	2022
OKLAHOMA	0	0	-2	2192	317	384	17	21	12	2022
OREGON	0	0	0	465	228	-69	96	-13	12	2022
PENNSYLVANIA	0	0	0	801	140	-143	21	-15	12	2022
RHODE ISLAND	0	0	0	709	232	-22	49	-3	12	2022
SOUTH CAROLINA	0	-5	-3	2027	227	122	13	6	12	2022
SOUTH DAKOTA	0	0	0	880	149	-83	20	-9	12	2022
TENNESSEE	0	-1	0	1511	162	136	12	10	12	2022
TEXAS	35	24	-62	3222	575	353	22	12	12	2022
UTAH	0	0	0	815	144	-76	21	-9	12	2022
VERMONT	0	0	0	287	11	-107	4	-27	12	2022
VIRGINIA	0	0	0	1285	236	-98	22	-7	12	2022
WASHINGTON	0	0	0	381	183	-29	92	-7	12	2022
WEST VIRGINIA	0	0	0	969	198	-35	26	-3	12	2022
WISCONSIN	0	0	0	523	21	-118	4	-18	12	2022
WYOMING	0	0	0	422	126	-90	43	-18	12	2022
