STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	0	-6	-6	1970	105	-33	6	-2	12	2023
ALASKA	0	0	0	20	7	8	-999	-999	12	2023
ARIZONA	0	-1	0	2673	-188	-74	-7	-3	12	2023
ARKANSAS	0	-1	0	1996	234	19	13	1	12	2023
CALIFORNIA	0	-1	0	782	-123	-349	-14	-31	12	2023
COLORADO	0	0	0	417	144	-217	53	-34	12	2023
CONNECTICUT	0	0	0	636	69	-295	12	-32	12	2023
DELAWARE	0	0	0	1192	135	-114	13	-9	12	2023
DISTRCT COLUMBIA	0	0	0	1489	-42	-742	-3	-33	12	2023
FLORIDA	79	-23	13	3545	124	-156	4	-4	12	2023
GEORGIA	0	-5	0	1709	8	-98	0	-5	12	2023
HAWAII	291	5	-19	4755	455	-5	11	0	12	2023
IDAHO	0	0	0	533	77	-133	17	-20	12	2023
ILLINOIS	0	0	0	927	52	-132	6	-12	12	2023
INDIANA	0	0	0	754	-140	-202	-16	-21	12	2023
IOWA	0	0	0	961	123	-9	15	-1	12	2023
KANSAS	0	0	0	1488	47	-124	3	-8	12	2023
KENTUCKY	0	-1	0	1133	-41	-191	-3	-14	12	2023
LOUISIANA	8	-8	-37	2789	214	164	8	6	12	2023
MAINE	0	0	0	334	106	-7	46	-2	12	2023
MARYLAND	0	0	0	1069	45	-178	4	-14	12	2023
MASSACHUSETTS	0	0	0	590	138	-104	31	-15	12	2023
MICHIGAN	0	0	0	434	-134	-155	-24	-26	12	2023
MINNESOTA	0	0	0	668	185	101	38	18	12	2023
MISSISSIPPI	0	-7	-13	2417	338	128	16	6	12	2023
MISSOURI	0	0	0	1307	57	-114	5	-8	12	2023
MONTANA	0	0	0	306	58	-99	23	-24	12	2023
NEBRASKA	0	0	0	1117	109	-85	11	-7	12	2023
NEVADA	0	0	0	1481	-440	-354	-23	-19	12	2023
NEW HAMPSHIRE	0	0	0	427	123	-69	40	-14	12	2023
NEW JERSEY	0	0	0	846	80	-180	10	-18	12	2023
NEW MEXICO	0	0	0	939	46	-8	5	-1	12	2023
NEW YORK	0	0	0	661	40	-410	6	-38	12	2023
NORTH CAROLINA	0	-2	0	1427	40	-184	3	-11	12	2023
NORTH DAKOTA	0	0	0	565	113	34	25	6	12	2023
OHIO	0	0	0	599	-139	-345	-19	-37	12	2023
OKLAHOMA	0	0	0	2016	141	-176	8	-8	12	2023
OREGON	0	0	0	430	193	-35	81	-8	12	2023
PENNSYLVANIA	0	0	0	653	-8	-148	-1	-18	12	2023
RHODE ISLAND	0	0	0	621	144	-88	30	-12	12	2023
SOUTH CAROLINA	0	-5	0	1832	32	-195	2	-10	12	2023
SOUTH DAKOTA	0	0	0	848	117	-32	16	-4	12	2023
TENNESSEE	0	-1	0	1329	-20	-182	-1	-12	12	2023
TEXAS	9	-2	-20	3247	600	18	23	1	12	2023
UTAH	0	0	0	676	5	-139	1	-17	12	2023
VERMONT	0	0	0	243	-33	-44	-12	-15	12	2023
VIRGINIA	0	0	0	1155	106	-130	10	-10	12	2023
WASHINGTON	0	0	0	349	151	-32	76	-8	12	2023
WEST VIRGINIA	0	0	0	796	25	-173	3	-18	12	2023
WISCONSIN	0	0	0	519	17	-4	3	-1	12	2023
WYOMING	0	0	0	247	-49	-357	-17	-59	12	2023
