STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	488	33	3	1240	171	130	16	12	7	2024
ALASKA	0	-8	-16	0	-11	-20	-999	-999	7	2024
ARIZONA	718	58	-34	1569	-41	147	-3	10	7	2024
ARKANSAS	455	-23	-41	1142	120	37	12	3	7	2024
CALIFORNIA	351	123	30	497	46	123	10	33	7	2024
COLORADO	170	56	-12	298	124	58	71	24	7	2024
CONNECTICUT	288	62	-19	428	90	37	27	9	7	2024
DELAWARE	424	73	20	864	249	204	40	31	7	2024
DISTRCT COLUMBIA	445	-11	-76	808	-84	-128	-9	-14	7	2024
FLORIDA	535	13	-20	1857	-7	-213	0	-10	7	2024
GEORGIA	485	53	19	1168	182	202	18	21	7	2024
HAWAII	463	1	-44	2314	51	-381	2	-14	7	2024
IDAHO	262	87	23	345	86	25	33	8	7	2024
ILLINOIS	291	5	-11	625	82	74	15	13	7	2024
INDIANA	258	-27	-19	567	12	115	2	25	7	2024
IOWA	245	-36	8	544	8	2	1	0	7	2024
KANSAS	403	-38	-14	840	-4	22	0	3	7	2024
KENTUCKY	355	5	6	838	144	196	21	31	7	2024
LOUISIANA	497	-32	-57	1482	11	-96	1	-6	7	2024
MAINE	209	102	0	281	145	44	107	19	7	2024
MARYLAND	440	100	25	856	253	269	42	46	7	2024
MASSACHUSETTS	287	97	8	432	161	69	59	19	7	2024
MICHIGAN	172	-31	-7	338	-21	63	-6	23	7	2024
MINNESOTA	195	13	33	312	-13	-69	-4	-18	7	2024
MISSISSIPPI	529	41	-20	1400	198	55	16	4	7	2024
MISSOURI	351	-36	-40	785	38	12	5	2	7	2024
MONTANA	171	72	39	202	60	25	42	14	7	2024
NEBRASKA	279	-56	0	587	-40	-42	-6	-7	7	2024
NEVADA	598	80	20	1081	-21	195	-2	22	7	2024
NEW HAMPSHIRE	248	112	29	372	180	97	94	35	7	2024
NEW JERSEY	374	92	20	674	218	199	48	42	7	2024
NEW MEXICO	256	-34	-120	523	-31	-58	-6	-10	7	2024
NEW YORK	282	49	-31	398	34	-28	9	-7	7	2024
NORTH CAROLINA	454	58	11	1032	224	237	28	30	7	2024
NORTH DAKOTA	194	29	56	261	-28	-117	-10	-31	7	2024
OHIO	259	14	-5	472	18	100	4	27	7	2024
OKLAHOMA	499	-19	-8	1174	105	117	10	11	7	2024
OREGON	185	98	42	236	120	12	103	5	7	2024
PENNSYLVANIA	323	87	33	588	188	219	47	59	7	2024
RHODE ISLAND	284	90	-4	432	165	74	62	21	7	2024
SOUTH CAROLINA	522	59	15	1260	212	223	20	22	7	2024
SOUTH DAKOTA	250	-14	36	415	-43	-72	-9	-15	7	2024
TENNESSEE	403	19	20	942	152	175	19	23	7	2024
TEXAS	549	-15	-119	1725	212	-61	14	-3	7	2024
UTAH	289	39	-37	471	77	55	20	13	7	2024
VERMONT	160	38	18	240	64	65	36	37	7	2024
VIRGINIA	409	75	20	867	253	227	41	35	7	2024
WASHINGTON	132	59	14	159	58	-39	57	-20	7	2024
WEST VIRGINIA	322	71	37	676	217	224	47	50	7	2024
WISCONSIN	176	-10	5	290	-29	-4	-9	-1	7	2024
WYOMING	126	3	0	171	-12	27	-7	19	7	2024
