STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	431	87	62	752	139	115	23	18	6	2022
ALASKA	6	3	0	6	3	0	-999	-999	6	2022
ARIZONA	535	22	-52	987	38	11	4	1	6	2022
ARKANSAS	394	56	22	635	91	129	17	25	6	2022
CALIFORNIA	171	40	-23	201	-22	-11	-10	-5	6	2022
COLORADO	112	56	-19	125	65	-10	-999	-999	6	2022
CONNECTICUT	83	-11	-88	123	11	-73	10	-37	6	2022
DELAWARE	219	14	-79	343	79	-77	30	-18	6	2022
DISTRCT COLUMBIA	332	28	-22	503	67	-11	15	-2	6	2022
FLORIDA	458	-3	-23	1524	186	-5	14	0	6	2022
GEORGIA	403	83	64	669	116	120	21	22	6	2022
HAWAII	431	20	-22	2095	303	-7	17	0	6	2022
IDAHO	48	-21	-136	51	-33	-144	-999	-999	6	2022
ILLINOIS	237	54	-33	365	108	17	42	5	6	2022
INDIANA	204	15	-46	307	37	-13	14	-4	6	2022
IOWA	230	48	-51	341	86	-13	34	-4	6	2022
KANSAS	330	47	-13	491	88	92	22	23	6	2022
KENTUCKY	276	46	-6	451	107	63	31	16	6	2022
LOUISIANA	482	37	38	1103	162	130	17	13	6	2022
MAINE	14	-13	-94	22	-7	-92	-999	-999	6	2022
MARYLAND	220	21	-42	321	58	-32	22	-9	6	2022
MASSACHUSETTS	62	-10	-112	112	31	-89	-999	-999	6	2022
MICHIGAN	114	0	-62	167	11	-54	7	-24	6	2022
MINNESOTA	141	38	-65	174	31	-74	22	-30	6	2022
MISSISSIPPI	475	90	67	894	181	166	25	23	6	2022
MISSOURI	310	63	0	451	91	63	25	16	6	2022
MONTANA	29	-9	-78	29	-14	-79	-999	-999	6	2022
NEBRASKA	270	56	-19	377	85	17	29	5	6	2022
NEVADA	316	-30	-114	438	-146	-124	-25	-22	6	2022
NEW HAMPSHIRE	42	-6	-121	80	24	-111	-999	-999	6	2022
NEW JERSEY	132	-9	-80	198	24	-64	14	-24	6	2022
NEW MEXICO	193	-7	-52	291	27	-21	10	-7	6	2022
NEW YORK	93	-14	-90	133	2	-81	2	-38	6	2022
NORTH CAROLINA	332	61	31	557	145	84	35	18	6	2022
NORTH DAKOTA	116	23	-70	125	1	-79	1	-39	6	2022
OHIO	172	23	-56	254	45	-41	22	-14	6	2022
OKLAHOMA	410	59	49	661	110	211	20	47	6	2022
OREGON	39	15	-89	40	11	-100	-999	-999	6	2022
PENNSYLVANIA	121	-4	-77	178	14	-69	9	-28	6	2022
RHODE ISLAND	64	-2	-94	101	28	-79	-999	-999	6	2022
SOUTH CAROLINA	421	79	64	751	167	147	29	24	6	2022
SOUTH DAKOTA	176	30	-71	209	15	-73	8	-26	6	2022
TENNESSEE	319	55	42	516	110	131	27	34	6	2022
TEXAS	570	116	93	1287	339	327	36	34	6	2022
UTAH	118	3	-93	132	-12	-97	-8	-42	6	2022
VERMONT	22	-20	-99	60	6	-88	-999	-999	6	2022
VIRGINIA	247	42	-26	396	116	3	41	1	6	2022
WASHINGTON	29	6	-81	29	1	-85	-999	-999	6	2022
WEST VIRGINIA	197	48	-8	312	104	37	50	13	6	2022
WISCONSIN	108	7	-78	164	31	-56	23	-25	6	2022
WYOMING	54	0	-68	55	-5	-67	-999	-999	6	2022
