STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	412	68	78	752	138	125	22	20	6	2024
ALASKA	0	-3	-3	0	-3	-4	-999	-999	6	2024
ARIZONA	568	55	218	851	-99	180	-10	27	6	2024
ARKANSAS	401	63	24	687	143	75	26	12	6	2024
CALIFORNIA	143	12	118	146	-77	92	-35	170	6	2024
COLORADO	126	70	77	128	68	74	-999	-999	6	2024
CONNECTICUT	132	38	61	140	28	54	25	63	6	2024
DELAWARE	302	97	132	440	176	181	67	70	6	2024
DISTRCT COLUMBIA	296	-8	23	363	-73	-53	-17	-13	6	2024
FLORIDA	475	14	30	1322	-20	-194	-1	-13	6	2024
GEORGIA	403	83	130	683	129	182	23	36	6	2024
HAWAII	416	5	-34	1851	50	-336	3	-15	6	2024
IDAHO	81	12	34	83	-1	4	-999	-999	6	2024
ILLINOIS	272	89	86	334	77	83	30	33	6	2024
INDIANA	228	39	93	309	39	128	14	71	6	2024
IOWA	233	51	26	299	44	-5	17	-2	6	2024
KANSAS	359	76	84	437	34	44	8	11	6	2024
KENTUCKY	294	64	112	483	139	185	40	62	6	2024
LOUISIANA	443	-2	-6	985	43	-38	5	-4	6	2024
MAINE	65	38	41	72	43	39	-999	-999	6	2024
MARYLAND	302	103	162	416	153	239	58	135	6	2024
MASSACHUSETTS	128	56	52	145	64	55	-999	-999	6	2024
MICHIGAN	142	28	64	166	10	64	6	63	6	2024
MINNESOTA	102	-1	-63	117	-26	-103	-18	-47	6	2024
MISSISSIPPI	454	69	37	871	157	74	22	9	6	2024
MISSOURI	328	81	61	434	74	49	21	13	6	2024
MONTANA	31	-7	2	31	-12	-12	-999	-999	6	2024
NEBRASKA	249	35	21	308	16	-39	5	-11	6	2024
NEVADA	375	29	208	483	-101	171	-17	55	6	2024
NEW HAMPSHIRE	103	55	50	124	68	63	-999	-999	6	2024
NEW JERSEY	233	92	139	300	126	177	72	144	6	2024
NEW MEXICO	225	25	69	267	3	64	1	32	6	2024
NEW YORK	115	8	25	116	-15	-1	-11	-1	6	2024
NORTH CAROLINA	356	85	141	578	166	223	40	63	6	2024
NORTH DAKOTA	62	-31	-107	67	-57	-170	-46	-72	6	2024
OHIO	177	28	91	213	4	99	2	87	6	2024
OKLAHOMA	453	102	95	675	124	132	23	24	6	2024
OREGON	42	18	-2	51	22	-29	-999	-999	6	2024
PENNSYLVANIA	200	75	130	265	101	182	62	219	6	2024
RHODE ISLAND	134	68	73	148	75	74	-999	-999	6	2024
SOUTH CAROLINA	416	74	127	738	153	206	26	39	6	2024
SOUTH DAKOTA	144	-2	-45	165	-29	-103	-15	-38	6	2024
TENNESSEE	328	64	101	539	133	152	33	39	6	2024
TEXAS	529	75	-8	1176	227	64	24	6	6	2024
UTAH	177	62	123	182	38	95	26	109	6	2024
VERMONT	68	26	37	80	26	43	-999	-999	6	2024
VIRGINIA	305	100	146	458	178	202	64	79	6	2024
WASHINGTON	24	1	-16	27	-1	-52	-999	-999	6	2024
WEST VIRGINIA	229	80	115	354	146	182	70	106	6	2024
WISCONSIN	111	10	6	114	-19	-14	-14	-11	6	2024
WYOMING	45	-9	32	45	-15	30	-999	-999	6	2024
