STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	26	-1	16	50	5	33	-999	-999	3	2023
ALASKA	0	0	0	0	0	0	-999	-999	3	2023
ARIZONA	1	-36	-32	1	-51	-32	-999	-999	3	2023
ARKANSAS	2	-15	2	2	-18	2	-999	-999	3	2023
CALIFORNIA	0	-7	0	0	-12	0	-999	-999	3	2023
COLORADO	0	0	0	0	0	0	-999	-999	3	2023
CONNECTICUT	0	0	0	0	0	0	-999	-999	3	2023
DELAWARE	0	0	0	0	0	0	-999	-999	3	2023
DISTRCT COLUMBIA	2	-2	0	2	-2	0	-999	-999	3	2023
FLORIDA	200	59	-13	445	117	50	36	13	3	2023
GEORGIA	12	-10	8	28	-9	15	-999	-999	3	2023
HAWAII	359	86	14	953	229	64	32	7	3	2023
IDAHO	0	0	0	0	0	0	-999	-999	3	2023
ILLINOIS	0	-1	0	0	-1	0	-999	-999	3	2023
INDIANA	0	-2	0	0	-2	0	-999	-999	3	2023
IOWA	0	-1	0	0	-1	0	-999	-999	3	2023
KANSAS	0	-7	0	0	-8	0	-999	-999	3	2023
KENTUCKY	0	-8	0	0	-9	0	-999	-999	3	2023
LOUISIANA	100	44	44	177	74	83	72	88	3	2023
MAINE	0	0	0	0	0	0	-999	-999	3	2023
MARYLAND	0	0	0	0	0	0	-999	-999	3	2023
MASSACHUSETTS	0	0	0	0	0	0	-999	-999	3	2023
MICHIGAN	0	0	0	0	0	0	-999	-999	3	2023
MINNESOTA	0	0	0	0	0	0	-999	-999	3	2023
MISSISSIPPI	40	5	25	74	18	47	-999	-999	3	2023
MISSOURI	0	-6	0	0	-6	0	-999	-999	3	2023
MONTANA	0	0	0	0	0	0	-999	-999	3	2023
NEBRASKA	0	-2	0	0	-2	0	-999	-999	3	2023
NEVADA	0	-15	-6	0	-20	-6	-999	-999	3	2023
NEW HAMPSHIRE	0	0	0	0	0	0	-999	-999	3	2023
NEW JERSEY	0	0	0	0	0	0	-999	-999	3	2023
NEW MEXICO	0	0	0	0	0	0	-999	-999	3	2023
NEW YORK	0	0	0	0	0	0	-999	-999	3	2023
NORTH CAROLINA	3	-7	0	3	-11	-2	-999	-999	3	2023
NORTH DAKOTA	0	0	0	0	0	0	-999	-999	3	2023
OHIO	0	-1	0	0	-1	0	-999	-999	3	2023
OKLAHOMA	1	-13	1	1	-16	1	-999	-999	3	2023
OREGON	0	0	0	0	0	0	-999	-999	3	2023
PENNSYLVANIA	0	0	0	0	0	0	-999	-999	3	2023
RHODE ISLAND	0	0	0	0	0	0	-999	-999	3	2023
SOUTH CAROLINA	14	-7	9	30	-4	14	-999	-999	3	2023
SOUTH DAKOTA	0	0	0	0	0	0	-999	-999	3	2023
TENNESSEE	0	-11	-1	3	-11	2	-999	-999	3	2023
TEXAS	85	24	30	139	45	65	-999	-999	3	2023
UTAH	0	0	0	0	0	0	-999	-999	3	2023
VERMONT	0	0	0	0	0	0	-999	-999	3	2023
VIRGINIA	0	-2	-1	0	-2	-1	-999	-999	3	2023
WASHINGTON	0	0	0	0	0	0	-999	-999	3	2023
WEST VIRGINIA	0	-2	0	0	-2	0	-999	-999	3	2023
WISCONSIN	0	0	0	0	0	0	-999	-999	3	2023
WYOMING	0	0	0	0	0	0	-999	-999	3	2023
