STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	193	15	-69	275	6	-46	2	-14	5	2023
ALASKA	0	0	0	0	0	0	-999	-999	5	2023
ARIZONA	215	-59	-79	301	-135	-151	-31	-33	5	2023
ARKANSAS	194	42	-10	215	9	-26	4	-11	5	2023
CALIFORNIA	17	-41	-4	18	-74	-12	-999	-999	5	2023
COLORADO	3	-1	-10	3	-1	-10	-999	-999	5	2023
CONNECTICUT	5	-13	-35	8	-10	-32	-999	-999	5	2023
DELAWARE	59	2	-59	80	21	-44	-999	-999	5	2023
DISTRCT COLUMBIA	64	-43	-83	128	-4	-43	-3	-25	5	2023
FLORIDA	335	-17	-67	1054	177	-12	20	-1	5	2023
GEORGIA	157	-2	-75	212	-21	-54	-9	-20	5	2023
HAWAII	398	41	0	1722	341	58	25	3	5	2023
IDAHO	24	10	21	25	10	22	-999	-999	5	2023
ILLINOIS	48	-22	-75	54	-20	-74	-999	-999	5	2023
INDIANA	34	-41	-62	36	-45	-67	-999	-999	5	2023
IOWA	84	16	-27	90	17	-21	-999	-999	5	2023
KANSAS	101	3	-44	107	-13	-54	-11	-34	5	2023
KENTUCKY	97	3	-56	105	-9	-70	-8	-40	5	2023
LOUISIANA	267	-18	-104	555	59	-66	12	-11	5	2023
MAINE	4	2	-4	4	2	-4	-999	-999	5	2023
MARYLAND	7	-54	-87	27	-37	-74	-999	-999	5	2023
MASSACHUSETTS	4	-5	-46	7	-2	-43	-999	-999	5	2023
MICHIGAN	13	-28	-40	16	-26	-37	-999	-999	5	2023
MINNESOTA	49	11	16	49	9	16	-999	-999	5	2023
MISSISSIPPI	246	37	-76	360	32	-59	10	-14	5	2023
MISSOURI	98	3	-34	103	-10	-38	-9	-27	5	2023
MONTANA	9	4	9	9	4	9	-999	-999	5	2023
NEBRASKA	105	34	1	113	35	6	-999	-999	5	2023
NEVADA	105	-58	0	129	-109	7	-46	6	5	2023
NEW HAMPSHIRE	3	-5	-35	3	-5	-35	-999	-999	5	2023
NEW JERSEY	7	-26	-56	22	-11	-44	-999	-999	5	2023
NEW MEXICO	39	-17	-48	40	-24	-58	-999	-999	5	2023
NEW YORK	7	-17	-33	18	-6	-22	-999	-999	5	2023
NORTH CAROLINA	104	-7	-91	126	-15	-99	-11	-44	5	2023
NORTH DAKOTA	61	32	52	61	30	52	-999	-999	5	2023
OHIO	17	-40	-56	18	-42	-64	-999	-999	5	2023
OKLAHOMA	150	2	-65	169	-31	-82	-15	-33	5	2023
OREGON	31	26	30	32	27	31	-999	-999	5	2023
PENNSYLVANIA	4	-34	-52	7	-32	-50	-999	-999	5	2023
RHODE ISLAND	5	-2	-32	7	0	-30	-999	-999	5	2023
SOUTH CAROLINA	147	-24	-128	227	-15	-103	-6	-31	5	2023
SOUTH DAKOTA	70	25	37	73	25	40	-999	-999	5	2023
TENNESSEE	132	21	-41	146	4	-51	3	-26	5	2023
TEXAS	297	14	-135	557	63	-160	13	-22	5	2023
UTAH	27	2	13	27	-2	13	-999	-999	5	2023
VERMONT	2	-10	-36	2	-10	-36	-999	-999	5	2023
VIRGINIA	63	-4	-70	86	11	-63	-999	-999	5	2023
WASHINGTON	36	31	36	36	31	36	-999	-999	5	2023
WEST VIRGINIA	47	-7	-57	49	-10	-66	-999	-999	5	2023
WISCONSIN	10	-21	-46	14	-18	-42	-999	-999	5	2023
WYOMING	0	-6	-1	0	-6	-1	-999	-999	5	2023
