STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	56	42	56	2166	306	196	16	10	11	2024
ALASKA	0	0	0	0	-13	-20	-999	-999	11	2024
ARIZONA	0	-24	-37	2950	89	277	3	10	11	2024
ARKANSAS	6	2	-1	1971	210	-25	12	-1	11	2024
CALIFORNIA	0	-7	0	1061	157	279	17	36	11	2024
COLORADO	0	0	0	529	256	112	94	27	11	2024
CONNECTICUT	0	0	0	647	80	11	14	2	11	2024
DELAWARE	11	11	11	1362	305	170	29	14	11	2024
DISTRCT COLUMBIA	0	-4	0	1404	-127	-85	-8	-6	11	2024
FLORIDA	198	27	49	3356	33	-113	1	-3	11	2024
GEORGIA	30	17	30	1986	289	277	17	16	11	2024
HAWAII	368	9	0	4098	75	-376	2	-8	11	2024
IDAHO	0	0	0	581	125	48	27	9	11	2024
ILLINOIS	0	0	0	1019	144	92	16	10	11	2024
INDIANA	2	2	2	943	49	189	5	25	11	2024
IOWA	0	0	0	909	71	-52	8	-5	11	2024
KANSAS	0	-1	0	1441	0	-47	0	-3	11	2024
KENTUCKY	6	5	5	1389	216	256	18	23	11	2024
LOUISIANA	119	74	87	2655	95	-126	4	-5	11	2024
MAINE	0	0	0	378	150	44	66	13	11	2024
MARYLAND	7	7	7	1281	257	212	25	20	11	2024
MASSACHUSETTS	0	0	0	601	149	11	33	2	11	2024
MICHIGAN	0	0	0	550	-18	116	-3	27	11	2024
MINNESOTA	0	0	0	564	81	-104	17	-16	11	2024
MISSISSIPPI	80	64	72	2460	387	43	19	2	11	2024
MISSOURI	0	-1	0	1300	50	-7	4	-1	11	2024
MONTANA	0	0	0	349	101	43	41	14	11	2024
NEBRASKA	0	0	0	1007	-1	-110	0	-10	11	2024
NEVADA	0	-5	0	1912	-9	431	0	29	11	2024
NEW HAMPSHIRE	0	0	0	484	180	57	59	13	11	2024
NEW JERSEY	2	2	2	991	225	145	29	17	11	2024
NEW MEXICO	0	0	0	921	28	-18	3	-2	11	2024
NEW YORK	0	0	0	630	9	-31	1	-5	11	2024
NORTH CAROLINA	13	9	13	1671	286	244	21	17	11	2024
NORTH DAKOTA	0	0	0	485	33	-80	7	-14	11	2024
OHIO	0	0	0	774	36	175	5	29	11	2024
OKLAHOMA	0	-3	-10	2142	267	126	14	6	11	2024
OREGON	0	0	0	422	185	-8	78	-2	11	2024
PENNSYLVANIA	0	0	0	842	181	189	27	29	11	2024
RHODE ISLAND	1	1	1	627	150	6	31	1	11	2024
SOUTH CAROLINA	27	15	24	2084	288	252	16	14	11	2024
SOUTH DAKOTA	0	0	0	773	42	-75	6	-9	11	2024
TENNESSEE	8	6	8	1558	210	229	16	17	11	2024
TEXAS	88	45	47	3113	476	-125	18	-4	11	2024
UTAH	0	0	0	822	151	146	23	22	11	2024
VERMONT	0	0	0	304	28	61	10	25	11	2024
VIRGINIA	8	7	8	1365	316	210	30	18	11	2024
WASHINGTON	0	0	0	294	96	-55	48	-16	11	2024
WEST VIRGINIA	0	0	0	1090	319	294	41	37	11	2024
WISCONSIN	0	0	0	497	-5	-22	-1	-4	11	2024
WYOMING	0	0	0	294	-2	47	-1	19	11	2024
