STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	6	-74	-137	1978	133	-25	7	-1	10	2022
ALASKA	0	0	0	12	-1	-17	-999	-999	10	2022
ARIZONA	144	-35	35	2747	-89	93	-3	4	10	2022
ARKANSAS	26	-31	-85	1973	216	103	12	6	10	2022
CALIFORNIA	71	17	42	1130	233	100	26	10	10	2022
COLORADO	0	0	0	588	315	16	115	3	10	2022
CONNECTICUT	0	-2	-2	795	228	7	40	1	10	2022
DELAWARE	0	-19	-54	1294	237	-213	22	-14	10	2022
DISTRCT COLUMBIA	4	-24	-95	1748	221	-107	14	-6	10	2022
FLORIDA	269	-40	-112	3280	132	-174	4	-5	10	2022
GEORGIA	4	-61	-104	1788	105	18	6	1	10	2022
HAWAII	481	37	30	4058	404	23	11	1	10	2022
IDAHO	3	2	2	660	204	-122	45	-16	10	2022
ILLINOIS	3	-10	-49	1059	184	-110	21	-9	10	2022
INDIANA	0	-14	-51	956	62	-147	7	-13	10	2022
IOWA	0	-10	-20	970	132	-73	16	-7	10	2022
KANSAS	8	-21	-19	1612	172	103	12	7	10	2022
KENTUCKY	0	-26	-71	1324	152	-23	13	-2	10	2022
LOUISIANA	115	-37	-135	2525	11	-85	0	-3	10	2022
MAINE	0	0	0	341	113	-29	50	-8	10	2022
MARYLAND	0	-16	-42	1240	216	-89	21	-7	10	2022
MASSACHUSETTS	0	-1	-2	693	241	11	53	2	10	2022
MICHIGAN	0	-5	-21	589	21	-132	4	-18	10	2022
MINNESOTA	0	-2	-1	567	84	-143	17	-20	10	2022
MISSISSIPPI	35	-59	-137	2253	197	39	10	2	10	2022
MISSOURI	8	-17	-33	1421	172	36	14	3	10	2022
MONTANA	0	0	0	405	157	-75	63	-16	10	2022
NEBRASKA	3	-7	-2	1202	194	56	19	5	10	2022
NEVADA	85	3	63	1835	-81	-37	-4	-2	10	2022
NEW HAMPSHIRE	0	0	-1	496	192	-24	63	-5	10	2022
NEW JERSEY	0	-8	-16	1021	255	-18	33	-2	10	2022
NEW MEXICO	3	-6	-7	886	-7	-20	-1	-2	10	2022
NEW YORK	0	-6	-8	816	195	-20	31	-2	10	2022
NORTH CAROLINA	0	-40	-77	1598	217	18	16	1	10	2022
NORTH DAKOTA	0	0	-3	531	79	-195	17	-27	10	2022
OHIO	0	-10	-55	852	114	-190	15	-18	10	2022
OKLAHOMA	40	-20	-31	2183	311	377	17	21	10	2022
OREGON	4	3	4	465	228	-69	96	-13	10	2022
PENNSYLVANIA	0	-7	-16	801	140	-143	21	-15	10	2022
RHODE ISLAND	0	-2	-3	704	227	-27	48	-4	10	2022
SOUTH CAROLINA	12	-57	-104	2000	217	98	12	5	10	2022
SOUTH DAKOTA	9	6	-12	880	149	-83	20	-9	10	2022
TENNESSEE	0	-38	-74	1510	164	135	12	10	10	2022
TEXAS	158	-2	-94	3134	541	403	21	15	10	2022
UTAH	0	-6	0	815	144	-76	21	-9	10	2022
VERMONT	0	0	0	287	11	-107	4	-27	10	2022
VIRGINIA	0	-21	-47	1277	229	-106	22	-8	10	2022
WASHINGTON	0	0	0	381	183	-29	92	-7	10	2022
WEST VIRGINIA	0	-13	-27	968	197	-36	26	-4	10	2022
WISCONSIN	0	-4	-12	523	21	-118	4	-18	10	2022
WYOMING	0	0	0	422	126	-90	43	-18	10	2022
