STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	308	40	35	1902	137	-70	8	-4	9	2023
ALASKA	0	0	0	20	7	8	-999	-999	9	2023
ARIZONA	401	-34	-42	2433	-224	-170	-8	-7	9	2023
ARKANSAS	306	68	29	1917	217	-30	13	-2	9	2023
CALIFORNIA	86	-73	-161	716	-127	-343	-15	-32	9	2023
COLORADO	39	21	-36	417	144	-171	53	-29	9	2023
CONNECTICUT	78	36	22	636	71	-159	13	-20	9	2023
DELAWARE	199	75	33	1164	126	-130	12	-10	9	2023
DISTRCT COLUMBIA	173	-27	-80	1489	-10	-255	-1	-15	9	2023
FLORIDA	436	-22	-1	3034	195	23	7	1	9	2023
GEORGIA	251	14	15	1656	38	-128	2	-7	9	2023
HAWAII	476	10	-22	3649	440	73	14	2	9	2023
IDAHO	45	4	-43	533	78	-124	17	-19	9	2023
ILLINOIS	104	22	-24	895	33	-161	4	-15	9	2023
INDIANA	78	-14	-29	731	-149	-225	-17	-24	9	2023
IOWA	142	73	26	931	103	-39	12	-4	9	2023
KANSAS	225	50	8	1454	43	-150	3	-9	9	2023
KENTUCKY	176	29	13	1105	-41	-219	-4	-17	9	2023
LOUISIANA	410	36	73	2593	231	183	10	8	9	2023
MAINE	54	46	38	334	106	-7	46	-2	9	2023
MARYLAND	156	38	6	1045	37	-195	4	-16	9	2023
MASSACHUSETTS	101	72	73	585	134	-108	30	-16	9	2023
MICHIGAN	53	11	-4	421	-142	-168	-25	-29	9	2023
MINNESOTA	101	77	41	642	161	75	33	13	9	2023
MISSISSIPPI	373	74	60	2296	334	78	17	4	9	2023
MISSOURI	155	13	-10	1268	44	-145	4	-10	9	2023
MONTANA	20	1	-28	306	58	-99	23	-24	9	2023
NEBRASKA	168	72	11	1087	89	-112	9	-9	9	2023
NEVADA	160	-103	-133	1423	-411	-327	-22	-19	9	2023
NEW HAMPSHIRE	81	70	62	425	121	-71	40	-14	9	2023
NEW JERSEY	129	56	21	830	72	-191	9	-19	9	2023
NEW MEXICO	117	23	0	928	44	45	5	5	9	2023
NEW YORK	55	-1	-18	661	46	-155	7	-19	9	2023
NORTH CAROLINA	221	36	10	1398	57	-200	4	-13	9	2023
NORTH DAKOTA	56	32	7	565	113	34	25	6	9	2023
OHIO	52	-22	-43	594	-134	-258	-18	-30	9	2023
OKLAHOMA	333	77	20	1923	111	-220	6	-10	9	2023
OREGON	43	10	-35	429	193	-32	82	-7	9	2023
PENNSYLVANIA	98	38	28	644	-10	-157	-2	-20	9	2023
RHODE ISLAND	114	75	79	614	139	-90	29	-13	9	2023
SOUTH CAROLINA	267	17	-15	1776	62	-212	4	-11	9	2023
SOUTH DAKOTA	121	61	5	829	101	-42	14	-5	9	2023
TENNESSEE	196	20	12	1295	-13	-215	-1	-14	9	2023
TEXAS	523	151	109	2993	560	17	23	1	9	2023
UTAH	62	1	-65	676	11	-139	2	-17	9	2023
VERMONT	47	35	43	241	-35	-46	-13	-16	9	2023
VIRGINIA	183	54	15	1130	103	-147	10	-12	9	2023
WASHINGTON	26	5	-23	349	151	-32	76	-8	9	2023
WEST VIRGINIA	126	41	12	787	29	-181	4	-19	9	2023
WISCONSIN	61	30	11	499	1	-24	0	-5	9	2023
WYOMING	6	-13	-44	247	-49	-175	-17	-41	9	2023
