STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	157	6	-14	2361	-436	-5	-16	0	4	2022
ALASKA	876	-46	-64	9566	-706	-192	-7	-2	4	2022
ARIZONA	37	-100	0	1723	-393	-265	-19	-13	4	2022
ARKANSAS	204	22	-35	3039	-414	-368	-12	-11	4	2022
CALIFORNIA	227	-22	21	2187	-250	-82	-10	-4	4	2022
COLORADO	621	-44	-36	6055	-809	-392	-12	-6	4	2022
CONNECTICUT	490	-32	32	5223	-572	64	-10	1	4	2022
DELAWARE	373	2	66	4119	-484	198	-11	5	4	2022
DISTRCT COLUMBIA	267	-5	35	3388	-589	-68	-15	-2	4	2022
FLORIDA	13	-5	-11	444	-249	-69	-36	-13	4	2022
GEORGIA	177	18	-9	2397	-436	-90	-15	-4	4	2022
HAWAII	0	0	-6	1	1	-11	-999	-999	4	2022
IDAHO	748	195	168	6467	38	295	1	5	4	2022
ILLINOIS	513	39	106	5603	-498	-70	-8	-1	4	2022
INDIANA	475	40	68	5189	-479	-97	-8	-2	4	2022
IOWA	637	139	166	6562	-240	-59	-4	-1	4	2022
KANSAS	355	25	-26	4549	-429	-370	-9	-8	4	2022
KENTUCKY	336	25	19	3974	-500	-160	-11	-4	4	2022
LOUISIANA	62	2	-43	1573	-207	-185	-12	-11	4	2022
MAINE	665	-41	66	6999	-502	309	-7	5	4	2022
MARYLAND	365	1	55	4153	-553	-30	-12	-1	4	2022
MASSACHUSETTS	515	-58	9	5462	-607	32	-10	1	4	2022
MICHIGAN	648	66	127	6160	-443	120	-7	2	4	2022
MINNESOTA	837	188	196	8240	-121	505	-1	7	4	2022
MISSISSIPPI	116	-3	-40	2155	-385	-179	-15	-8	4	2022
MISSOURI	395	62	42	4626	-439	-292	-9	-6	4	2022
MONTANA	885	202	152	7336	-337	65	-4	1	4	2022
NEBRASKA	523	64	45	5594	-686	-359	-11	-6	4	2022
NEVADA	270	-17	49	3478	-154	-142	-4	-4	4	2022
NEW HAMPSHIRE	616	-37	45	6525	-658	143	-9	2	4	2022
NEW JERSEY	432	-18	48	4692	-545	-10	-10	0	4	2022
NEW MEXICO	304	-76	-53	4374	-265	-85	-6	-2	4	2022
NEW YORK	505	-23	55	5128	-710	43	-12	1	4	2022
NORTH CAROLINA	221	9	-12	3020	-427	-166	-12	-5	4	2022
NORTH DAKOTA	938	236	211	8652	-330	582	-4	7	4	2022
OHIO	493	23	70	5104	-610	-48	-11	-1	4	2022
OKLAHOMA	203	3	-68	3327	-370	-517	-10	-13	4	2022
OREGON	655	184	198	4830	161	195	3	4	4	2022
PENNSYLVANIA	485	7	68	5191	-463	104	-8	2	4	2022
RHODE ISLAND	494	-55	13	5223	-338	156	-6	3	4	2022
SOUTH CAROLINA	149	10	-25	2351	-408	-189	-15	-7	4	2022
SOUTH DAKOTA	720	126	102	6846	-617	-29	-8	0	4	2022
TENNESSEE	279	31	-19	3543	-357	-182	-9	-5	4	2022
TEXAS	43	-30	-51	1636	-351	-227	-18	-12	4	2022
UTAH	635	84	49	6060	-135	46	-2	1	4	2022
VERMONT	667	-26	50	7196	-480	171	-6	2	4	2022
VIRGINIA	309	-10	21	3758	-584	-109	-13	-3	4	2022
WASHINGTON	613	137	143	5145	109	255	2	5	4	2022
WEST VIRGINIA	415	13	17	4566	-506	-137	-10	-3	4	2022
WISCONSIN	702	77	164	7054	-338	182	-5	3	4	2022
WYOMING	820	103	49	6943	-723	-410	-9	-6	4	2022
