STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	127	-24	-13	2422	-390	181	-14	8	4	2024
ALASKA	913	-9	-130	10231	-88	434	-1	4	4	2024
ARIZONA	145	8	25	2154	27	-518	1	-19	4	2024
ARKANSAS	139	-43	-50	3021	-450	-125	-13	-4	4	2024
CALIFORNIA	274	25	4	2343	-107	-524	-4	-18	4	2024
COLORADO	580	-85	-86	6177	-720	-632	-10	-9	4	2024
CONNECTICUT	477	-45	52	5224	-603	256	-10	5	4	2024
DELAWARE	286	-85	52	3947	-682	34	-15	1	4	2024
DISTRCT COLUMBIA	235	-37	88	3948	-52	556	-1	16	4	2024
FLORIDA	23	5	16	546	-151	27	-22	5	4	2024
GEORGIA	138	-21	-23	2558	-290	115	-10	5	4	2024
HAWAII	0	0	0	0	0	0	-999	-999	4	2024
IDAHO	616	63	-90	6218	-241	-730	-4	-11	4	2024
ILLINOIS	385	-89	-44	5017	-1117	-530	-18	-10	4	2024
INDIANA	352	-83	-53	4772	-927	-354	-16	-7	4	2024
IOWA	442	-56	-58	5742	-1096	-947	-16	-14	4	2024
KANSAS	266	-64	-70	4514	-490	-577	-10	-11	4	2024
KENTUCKY	226	-85	-44	3785	-713	-163	-16	-4	4	2024
LOUISIANA	69	9	-25	1923	134	207	7	12	4	2024
MAINE	664	-42	36	6447	-1094	-26	-15	0	4	2024
MARYLAND	277	-87	39	4023	-709	-2	-15	0	4	2024
MASSACHUSETTS	547	-26	87	5345	-758	113	-12	2	4	2024
MICHIGAN	479	-103	-55	5590	-1049	-374	-16	-6	4	2024
MINNESOTA	596	-53	-150	6797	-1607	-1391	-19	-17	4	2024
MISSISSIPPI	93	-26	-33	2298	-255	175	-10	8	4	2024
MISSOURI	264	-69	-52	4257	-835	-511	-16	-11	4	2024
MONTANA	674	-9	-109	7059	-649	-848	-8	-11	4	2024
NEBRASKA	409	-50	-64	5520	-792	-902	-13	-14	4	2024
NEVADA	303	16	-24	3674	25	-698	1	-16	4	2024
NEW HAMPSHIRE	622	-31	63	6052	-1169	-105	-16	-2	4	2024
NEW JERSEY	385	-65	68	4527	-740	35	-14	1	4	2024
NEW MEXICO	406	26	-13	4552	-109	-429	-2	-9	4	2024
NEW YORK	476	-52	84	5309	-562	307	-10	6	4	2024
NORTH CAROLINA	183	-29	-14	3127	-339	50	-10	2	4	2024
NORTH DAKOTA	643	-59	-267	7754	-1273	-1582	-14	-17	4	2024
OHIO	369	-101	-37	5018	-727	-39	-13	-1	4	2024
OKLAHOMA	158	-42	-96	3267	-449	-395	-12	-11	4	2024
OREGON	556	85	-53	4612	-78	-510	-2	-10	4	2024
PENNSYLVANIA	391	-87	18	4927	-758	-119	-13	-2	4	2024
RHODE ISLAND	517	-32	74	5123	-469	173	-8	3	4	2024
SOUTH CAROLINA	126	-13	-13	2451	-323	122	-12	5	4	2024
SOUTH DAKOTA	554	-40	-120	6520	-981	-1217	-13	-16	4	2024
TENNESSEE	204	-44	-40	3416	-505	-60	-13	-2	4	2024
TEXAS	53	-20	-42	1757	-240	-21	-12	-1	4	2024
UTAH	558	7	-125	5840	-385	-908	-6	-13	4	2024
VERMONT	661	-32	62	6771	-947	-122	-12	-2	4	2024
VIRGINIA	226	-93	2	3749	-617	-30	-14	-1	4	2024
WASHINGTON	545	69	-38	5067	8	-267	0	-5	4	2024
WEST VIRGINIA	268	-134	-42	4310	-789	-191	-15	-4	4	2024
WISCONSIN	534	-91	-56	6120	-1311	-785	-18	-11	4	2024
WYOMING	701	-16	-114	7230	-472	-685	-6	-9	4	2024
