STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	0	0	0	0	0	0	-999	-999	8	2022
ALASKA	268	-32	5	488	-41	32	-8	7	8	2022
ARIZONA	0	0	0	0	0	0	-999	-999	8	2022
ARKANSAS	0	-2	0	0	-2	0	-999	-999	8	2022
CALIFORNIA	0	-9	0	0	-19	0	-999	-999	8	2022
COLORADO	4	-55	1	4	-88	1	-999	-999	8	2022
CONNECTICUT	6	-8	-7	10	-8	-19	-999	-999	8	2022
DELAWARE	0	-1	0	0	-1	0	-999	-999	8	2022
DISTRCT COLUMBIA	0	-7	0	0	-7	0	-999	-999	8	2022
FLORIDA	0	0	0	0	0	0	-999	-999	8	2022
GEORGIA	0	0	0	0	0	0	-999	-999	8	2022
HAWAII	0	0	0	0	0	0	-999	-999	8	2022
IDAHO	0	-50	-30	0	-89	-30	-999	-999	8	2022
ILLINOIS	4	-17	-3	6	-20	-12	-999	-999	8	2022
INDIANA	13	-5	2	16	-7	-6	-999	-999	8	2022
IOWA	17	-12	-1	24	-16	-4	-999	-999	8	2022
KANSAS	0	-8	0	1	-9	1	-999	-999	8	2022
KENTUCKY	0	-4	0	0	-5	0	-999	-999	8	2022
LOUISIANA	0	0	0	0	0	0	-999	-999	8	2022
MAINE	9	-49	-11	19	-74	-57	-999	-999	8	2022
MARYLAND	0	-2	0	0	-3	0	-999	-999	8	2022
MASSACHUSETTS	0	-19	-1	0	-26	-13	-999	-999	8	2022
MICHIGAN	6	-30	6	6	-44	4	-999	-999	8	2022
MINNESOTA	1	-57	-6	4	-86	-11	-999	-999	8	2022
MISSISSIPPI	0	0	0	0	0	0	-999	-999	8	2022
MISSOURI	0	-10	-2	0	-12	-2	-999	-999	8	2022
MONTANA	11	-90	-89	20	-170	-80	-89	-80	8	2022
NEBRASKA	6	-15	-2	11	-21	1	-999	-999	8	2022
NEVADA	0	-9	0	0	-14	0	-999	-999	8	2022
NEW HAMPSHIRE	2	-47	-4	4	-63	-25	-999	-999	8	2022
NEW JERSEY	0	-5	0	0	-6	0	-999	-999	8	2022
NEW MEXICO	2	-9	2	2	-14	2	-999	-999	8	2022
NEW YORK	0	-18	0	0	-26	-1	-999	-999	8	2022
NORTH CAROLINA	1	0	1	1	0	1	-999	-999	8	2022
NORTH DAKOTA	48	-24	-10	86	-36	13	-30	18	8	2022
OHIO	14	-4	6	18	-6	-3	-999	-999	8	2022
OKLAHOMA	0	-2	0	0	-2	0	-999	-999	8	2022
OREGON	4	-57	-51	37	-87	-23	-70	-38	8	2022
PENNSYLVANIA	11	-7	2	14	-12	-6	-999	-999	8	2022
RHODE ISLAND	8	-5	-9	19	1	-29	-999	-999	8	2022
SOUTH CAROLINA	0	0	0	0	0	0	-999	-999	8	2022
SOUTH DAKOTA	18	-23	2	26	-51	2	-999	-999	8	2022
TENNESSEE	0	-1	0	0	-1	-1	-999	-999	8	2022
TEXAS	0	0	0	0	0	0	-999	-999	8	2022
UTAH	0	-22	-13	0	-35	-13	-999	-999	8	2022
VERMONT	61	-7	12	132	33	-8	-999	-999	8	2022
VIRGINIA	0	-2	0	0	-3	0	-999	-999	8	2022
WASHINGTON	12	-61	-52	46	-104	-27	-69	-37	8	2022
WEST VIRGINIA	0	-12	0	0	-17	0	-999	-999	8	2022
WISCONSIN	43	-6	17	72	0	10	-999	-999	8	2022
WYOMING	4	-74	-29	9	-128	-24	-93	-73	8	2022
