STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	0	0    0		0	0	0  -999	-9	99	8	2024
ALASKA	296	-4	0.0	512	-17	26	-3	6	8	2024
ARIZONA	0	0	0.0	0	0	0	-999	-999	8	2024
ARKANSAS	0	-2	0.0	0	-2	0	-999	-999	8	2024
CALIFORNIA	0	-9	0.0	0	-19	0	-999	-999	8	2024
COLORADO	6	-53	-1.0	10	-82	-4	-999	-999	8	2024
CONNECTICUT	27	13	4.0	29	11	4	-999	-999	8	2024
DELAWARE	2	1	2.0	2	1	2	-999	-999	8	2024
DISTRCT COLUMBIA	0	-7	0.0	0	-7	0	-999	-999	8	2024
FLORIDA	0	0	0.0	0	0	0	-999	-999	8	2024
GEORGIA	0	0	0.0	0	0	0	-999	-999	8	2024
HAWAII	0	0	0.0	0	0	0	-999	-999	8	2024
IDAHO	36	-14	26.0	42	-47	32	-999	-999	8	2024
ILLINOIS	23	2	5.0	31	5	11	-999	-999	8	2024
INDIANA	27	9	-1.0	40	17	9	-999	-999	8	2024
IOWA	41	12	16.0	57	17	9	-999	-999	8	2024
KANSAS	9	1	9.0	9	-1	9	-999	-999	8	2024
KENTUCKY	2	-2	2.0	2	-3	2	-999	-999	8	2024
LOUISIANA	0	0	0.0	0	0	0	-999	-999	8	2024
MAINE	18	-40	-5.0	18	-75	-5	-999	-999	8	2024
MARYLAND	3	1	3.0	3	0	3	-999	-999	8	2024
MASSACHUSETTS	10	-9	6.0	10	-16	6	-999	-999	8	2024
MICHIGAN	17	-19	-3.0	22	-28	2	-999	-999	8	2024
MINNESOTA	20	-38	13.0	26	-64	-2	-999	-999	8	2024
MISSISSIPPI	0	0	0.0	0	0	0	-999	-999	8	2024
MISSOURI	12	2	7.0	15	3	10	-999	-999	8	2024
MONTANA	61	-40	28.0	95	-95	35	-50	58	8	2024
NEBRASKA	25	4	13.0	39	7	11	-999	-999	8	2024
NEVADA	0	-9	0.0	0	-14	0	-999	-999	8	2024
NEW HAMPSHIRE	26	-23	2.0	26	-41	1	-999	-999	8	2024
NEW JERSEY	4	-1	4.0	4	-2	4	-999	-999	8	2024
NEW MEXICO	0	-11	0.0	0	-16	0	-999	-999	8	2024
NEW YORK	0	-18	0.0	0	-26	0	-999	-999	8	2024
NORTH CAROLINA	7	6	6.0	7	6	6	-999	-999	8	2024
NORTH DAKOTA	92	20	22.0	128	6	-29	5	-18	8	2024
OHIO	24	6	0.0	30	6	4	-999	-999	8	2024
OKLAHOMA	0	-2	0.0	0	-2	0	-999	-999	8	2024
OREGON	60	-1	41.0	71	-53	46	-43	184	8	2024
PENNSYLVANIA	32	14	12.0	39	13	16	-999	-999	8	2024
RHODE ISLAND	41	28	3.0	50	32	7	-999	-999	8	2024
SOUTH CAROLINA	0	0	0.0	0	0	0	-999	-999	8	2024
SOUTH DAKOTA	38	-3	10.0	61	-16	-7	-999	-999	8	2024
TENNESSEE	4	3	2.0	4	3	2	-999	-999	8	2024
TEXAS	0	0	0.0	0	0	0	-999	-999	8	2024
UTAH	6	-16	6.0	6	-29	6	-999	-999	8	2024
VERMONT	108	40	-16.0	144	45	-21	-999	-999	8	2024
VIRGINIA	3	1	3.0	3	0	3	-999	-999	8	2024
WASHINGTON	64	-9	32.0	88	-62	42	-41	91	8	2024
WEST VIRGINIA	11	-1	11.0	11	-6	11	-999	-999	8	2024
WISCONSIN	52	3	5.0	84	12	5	-999	-999	8	2024
WYOMING	37	-41	16.0	58	-79	0	-58	0	8	2024
