STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	520	-71	213	1061	-56	263	-5	33	12	2022
ALASKA	1594	21	59	4678	-324	-213	-6	-4	12	2022
ARIZONA	537	47	105	1018	155	429	18	73	12	2022
ARKANSAS	713	-26	324	1412	17	445	1	46	12	2022
CALIFORNIA	519	36	-10	991	18	111	2	13	12	2022
COLORADO	1190	-10	234	2814	-231	565	-8	25	12	2022
CONNECTICUT	946	-72	128	2019	-234	167	-10	9	12	2022
DELAWARE	873	23	202	1686	-44	327	-3	24	12	2022
DISTRCT COLUMBIA	773	-2	233	1398	-85	291	-6	26	12	2022
FLORIDA	149	-11	101	189	-41	60	-18	47	12	2022
GEORGIA	591	-7	253	1156	31	295	3	34	12	2022
HAWAII	0	0	-1	0	0	-1	-999	-999	12	2022
IDAHO	1265	77	159	2929	6	350	0	14	12	2022
ILLINOIS	1143	-11	303	2362	-65	472	-3	25	12	2022
INDIANA	1049	-17	303	2245	-8	452	0	25	12	2022
IOWA	1357	49	325	2829	29	584	1	26	12	2022
KANSAS	1097	83	386	2165	134	646	7	43	12	2022
KENTUCKY	862	-7	335	1796	16	446	1	33	12	2022
LOUISIANA	409	0	240	823	131	365	19	80	12	2022
MAINE	1082	-178	-77	2465	-569	-133	-19	-5	12	2022
MARYLAND	898	19	227	1780	-34	388	-2	28	12	2022
MASSACHUSETTS	983	-62	98	2069	-296	160	-13	8	12	2022
MICHIGAN	1109	-49	170	2429	-191	361	-7	17	12	2022
MINNESOTA	1560	15	184	3291	-228	435	-6	15	12	2022
MISSISSIPPI	493	-62	244	999	-14	319	-1	47	12	2022
MISSOURI	1028	14	370	2085	37	582	2	39	12	2022
MONTANA	1472	148	160	3479	-62	387	-2	13	12	2022
NEBRASKA	1308	88	376	2704	67	721	3	36	12	2022
NEVADA	826	65	52	1686	118	281	8	20	12	2022
NEW HAMPSHIRE	1089	-137	28	2451	-470	110	-16	5	12	2022
NEW JERSEY	939	-3	188	1900	-113	323	-6	20	12	2022
NEW MEXICO	885	-40	119	2076	69	436	3	27	12	2022
NEW YORK	962	-54	167	1938	-300	285	-13	17	12	2022
NORTH CAROLINA	748	55	305	1432	63	339	5	31	12	2022
NORTH DAKOTA	1755	125	204	3862	-17	612	0	19	12	2022
OHIO	1001	-36	266	2173	-83	420	-4	24	12	2022
OKLAHOMA	807	8	344	1556	70	538	5	53	12	2022
OREGON	893	74	27	2044	-86	-62	-4	-3	12	2022
PENNSYLVANIA	1020	14	229	2221	-13	396	-1	22	12	2022
RHODE ISLAND	924	-31	93	1988	-113	128	-5	7	12	2022
SOUTH CAROLINA	605	15	255	1112	18	249	2	29	12	2022
SOUTH DAKOTA	1498	112	308	3188	-5	660	0	26	12	2022
TENNESSEE	760	-22	310	1607	32	374	2	30	12	2022
TEXAS	423	-47	265	806	14	411	2	104	12	2022
UTAH	1174	12	98	2710	18	302	1	13	12	2022
VERMONT	1168	-123	59	2861	-261	128	-8	5	12	2022
VIRGINIA	868	45	281	1715	9	422	1	33	12	2022
WASHINGTON	1005	132	65	2352	5	60	0	3	12	2022
WEST VIRGINIA	940	9	273	2028	-15	436	-1	27	12	2022
WISCONSIN	1316	-18	214	2906	-111	418	-4	17	12	2022
WYOMING	1344	13	219	3287	-172	586	-5	22	12	2022
