STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	521	-70	16	837	-280	-120	-25	-13	12	2024
ALASKA	1570	-3	0	4963	-39	26	-1	1	12	2024
ARIZONA	353	-137	-80	749	-114	80	-13	12	12	2024
ARKANSAS	620	-119	12	1051	-344	-139	-25	-12	12	2024
CALIFORNIA	373	-110	-6	805	-168	78	-17	11	12	2024
COLORADO	1005	-195	-43	2410	-635	-158	-21	-6	12	2024
CONNECTICUT	1011	-7	143	2100	-153	77	-7	4	12	2024
DELAWARE	854	4	153	1519	-211	19	-12	1	12	2024
DISTRCT COLUMBIA	781	6	0	1454	-29	0	-2	0	12	2024
FLORIDA	126	-34	1	173	-57	-11	-25	-6	12	2024
GEORGIA	566	-32	36	930	-195	-92	-17	-9	12	2024
HAWAII	0	0	0	0	0	0	-999	-999	12	2024
IDAHO	1035	-153	-16	2587	-336	-31	-11	-1	12	2024
ILLINOIS	1043	-111	209	2004	-423	17	-17	1	12	2024
INDIANA	950	-116	154	1882	-371	-20	-16	-1	12	2024
IOWA	1157	-151	199	2358	-442	61	-16	3	12	2024
KANSAS	903	-111	75	1709	-322	-69	-16	-4	12	2024
KENTUCKY	785	-84	78	1410	-370	-60	-21	-4	12	2024
LOUISIANA	366	-43	-52	553	-139	-226	-20	-29	12	2024
MAINE	1205	-55	167	2562	-472	103	-16	4	12	2024
MARYLAND	872	-7	148	1578	-236	4	-13	0	12	2024
MASSACHUSETTS	1058	13	211	2151	-214	138	-9	7	12	2024
MICHIGAN	1072	-86	209	2134	-486	-59	-19	-3	12	2024
MINNESOTA	1343	-202	273	2758	-761	73	-22	3	12	2024
MISSISSIPPI	465	-90	-15	729	-284	-175	-28	-19	12	2024
MISSOURI	874	-140	128	1660	-388	-11	-19	-1	12	2024
MONTANA	1071	-253	28	2902	-639	-35	-18	-1	12	2024
NEBRASKA	1009	-211	49	2077	-560	-115	-21	-5	12	2024
NEVADA	655	-106	-24	1435	-133	32	-8	2	12	2024
NEW HAMPSHIRE	1204	-22	251	2541	-380	222	-13	10	12	2024
NEW JERSEY	961	19	201	1762	-251	36	-12	2	12	2024
NEW MEXICO	798	-127	-63	1695	-312	-116	-16	-6	12	2024
NEW YORK	999	-17	86	1988	-250	22	-11	1	12	2024
NORTH CAROLINA	685	-8	74	1243	-126	-53	-9	-4	12	2024
NORTH DAKOTA	1444	-186	257	3245	-634	57	-16	2	12	2024
OHIO	960	-77	113	1958	-298	-42	-13	-2	12	2024
OKLAHOMA	636	-163	6	1097	-389	-177	-26	-14	12	2024
OREGON	732	-87	49	2024	-106	128	-5	7	12	2024
PENNSYLVANIA	1001	-5	189	2052	-182	57	-8	3	12	2024
RHODE ISLAND	993	38	195	2087	-14	138	-1	7	12	2024
SOUTH CAROLINA	574	-16	69	953	-141	-44	-13	-4	12	2024
SOUTH DAKOTA	1175	-211	136	2570	-623	-26	-20	-1	12	2024
TENNESSEE	703	-79	49	1276	-299	-75	-19	-6	12	2024
TEXAS	297	-173	-69	464	-328	-231	-41	-33	12	2024
UTAH	992	-170	-28	2338	-354	-78	-13	-3	12	2024
VERMONT	1259	-32	228	2918	-204	139	-7	5	12	2024
VIRGINIA	816	-7	115	1468	-238	-31	-14	-2	12	2024
WASHINGTON	824	-49	50	2247	-100	43	-4	2	12	2024
WEST VIRGINIA	893	-38	118	1697	-346	-60	-17	-3	12	2024
WISCONSIN	1202	-132	237	2494	-523	17	-17	1	12	2024
WYOMING	1169	-162	-16	3024	-435	-107	-13	-3	12	2024
