STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	301	-202	-151	1811	-489	-105	-21	-5	2	2023
ALASKA	1336	-62	157	7406	-637	-155	-8	-2	2	2023
ARIZONA	506	157	107	2133	429	682	25	47	2	2023
ARKANSAS	488	-120	-156	2535	-304	113	-11	5	2	2023
CALIFORNIA	511	138	150	2054	224	394	12	24	2	2023
COLORADO	1070	65	-41	5140	-149	616	-3	14	2	2023
CONNECTICUT	852	-145	-68	3705	-722	-267	-16	-7	2	2023
DELAWARE	641	-195	-104	3038	-524	-132	-15	-4	2	2023
DISTRCT COLUMBIA	507	-235	-121	2518	-624	-155	-20	-6	2	2023
FLORIDA	46	-108	-35	371	-226	-28	-38	-7	2	2023
GEORGIA	302	-209	-113	1959	-357	20	-15	1	2	2023
HAWAII	0	0	0	0	0	-1	-999	-999	2	2023
IDAHO	1085	144	-1	5212	136	300	3	6	2	2023
ILLINOIS	888	-157	-189	4284	-513	-57	-11	-1	2	2023
INDIANA	773	-209	-214	3931	-531	-101	-12	-3	2	2023
IOWA	1098	-45	-132	5202	-202	166	-4	3	2	2023
KANSAS	845	-6	-87	4009	2	460	0	13	2	2023
KENTUCKY	567	-217	-185	3085	-482	-60	-14	-2	2	2023
LOUISIANA	256	-81	-105	1440	-78	133	-5	10	2	2023
MAINE	1214	-20	24	4846	-878	-473	-15	-9	2	2023
MARYLAND	630	-210	-117	3136	-537	-76	-15	-2	2	2023
MASSACHUSETTS	924	-107	-42	3919	-686	-216	-15	-5	2	2023
MICHIGAN	976	-149	-159	4456	-614	-148	-12	-3	2	2023
MINNESOTA	1369	17	-190	6134	-457	-104	-7	-2	2	2023
MISSISSIPPI	313	-148	-143	1742	-373	-33	-18	-2	2	2023
MISSOURI	744	-131	-191	3749	-322	141	-8	4	2	2023
MONTANA	1149	54	-14	5895	-122	390	-2	7	2	2023
NEBRASKA	1046	14	-1	4982	-12	721	0	17	2	2023
NEVADA	748	194	120	3320	434	558	15	20	2	2023
NEW HAMPSHIRE	1100	-86	-19	4629	-883	-319	-16	-6	2	2023
NEW JERSEY	759	-161	-96	3440	-584	-146	-15	-4	2	2023
NEW MEXICO	811	99	-40	3837	178	432	5	13	2	2023
NEW YORK	853	-164	-96	3662	-781	-185	-18	-5	2	2023
NORTH CAROLINA	409	-210	-124	2440	-333	6	-12	0	2	2023
NORTH DAKOTA	1416	6	-138	6868	-216	346	-3	5	2	2023
OHIO	759	-230	-183	3823	-621	-116	-14	-3	2	2023
OKLAHOMA	615	-37	-145	2899	-135	253	-4	10	2	2023
OREGON	790	143	104	3664	71	117	2	3	2	2023
PENNSYLVANIA	782	-192	-137	3863	-504	-120	-12	-3	2	2023
RHODE ISLAND	862	-96	-57	3706	-466	-255	-11	-6	2	2023
SOUTH CAROLINA	293	-213	-111	1880	-386	-57	-17	-3	2	2023
SOUTH DAKOTA	1218	37	-23	5806	-71	660	-1	13	2	2023
TENNESSEE	485	-198	-185	2739	-408	-90	-13	-3	2	2023
TEXAS	326	-41	-143	1506	-187	148	-11	11	2	2023
UTAH	1106	155	68	5005	155	395	3	9	2	2023
VERMONT	1179	-98	-15	5216	-670	-303	-11	-5	2	2023
VIRGINIA	550	-217	-117	2969	-446	18	-13	1	2	2023
WASHINGTON	801	105	55	3994	74	87	2	2	2	2023
WEST VIRGINIA	651	-217	-154	3489	-483	-52	-12	-1	2	2023
WISCONSIN	1124	-93	-152	5248	-499	-99	-9	-2	2	2023
WYOMING	1211	91	16	5849	-106	715	-2	14	2	2023
