STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	666	-14	102	1464	-333	7	-19	0	1	2022
ALASKA	1493	-151	70	6383	-262	504	-4	9	1	2022
ARIZONA	463	-29	-37	1052	-303	-218	-22	-17	1	2022
ARKANSAS	811	-25	84	1778	-453	-234	-20	-12	1	2022
CALIFORNIA	419	-65	-33	1299	-158	66	-11	5	1	2022
COLORADO	1164	-75	36	3413	-871	-360	-20	-10	1	2022
CONNECTICUT	1200	23	151	3052	-378	76	-11	3	1	2022
DELAWARE	1066	70	187	2425	-301	193	-11	9	1	2022
DISTRCT COLUMBIA	938	21	122	2045	-355	18	-15	1	1	2022
FLORIDA	189	-24	24	318	-125	-43	-28	-12	1	2022
GEORGIA	663	-17	61	1524	-281	-31	-16	-2	1	2022
HAWAII	0	0	0	1	1	0	-999	-999	1	2022
IDAHO	1247	35	168	3826	-309	73	-7	2	1	2022
ILLINOIS	1374	49	224	3264	-488	-57	-13	-2	1	2022
INDIANA	1252	25	178	3045	-435	-62	-12	-2	1	2022
IOWA	1561	100	267	3806	-455	-140	-11	-4	1	2022
KANSAS	1098	-27	138	2617	-539	-264	-17	-9	1	2022
KENTUCKY	1043	40	145	2393	-390	-61	-14	-2	1	2022
LOUISIANA	488	-1	61	946	-235	-93	-20	-9	1	2022
MAINE	1531	75	281	4129	-361	268	-8	7	1	2022
MARYLAND	1073	54	157	2465	-368	19	-13	1	1	2022
MASSACHUSETTS	1260	51	175	3169	-405	70	-11	2	1	2022
MICHIGAN	1401	76	241	3469	-476	-37	-12	-1	1	2022
MINNESOTA	1823	103	403	4679	-560	58	-11	1	1	2022
MISSISSIPPI	639	-2	99	1319	-335	-79	-20	-6	1	2022
MISSOURI	1170	22	164	2673	-523	-228	-16	-8	1	2022
MONTANA	1250	-131	102	4342	-580	63	-12	1	1	2022
NEBRASKA	1231	-94	131	3214	-748	-277	-19	-8	1	2022
NEVADA	729	-35	-25	2134	-198	-48	-8	-2	1	2022
NEW HAMPSHIRE	1488	83	264	3829	-497	118	-11	3	1	2022
NEW JERSEY	1154	63	158	2731	-373	33	-12	1	1	2022
NEW MEXICO	914	-26	-4	2554	-393	-156	-13	-6	1	2022
NEW YORK	1245	57	195	2898	-528	33	-15	1	1	2022
NORTH CAROLINA	808	23	67	1901	-253	-40	-12	-2	1	2022
NORTH DAKOTA	1718	-77	360	4968	-706	184	-12	4	1	2022
OHIO	1244	45	209	2997	-458	-16	-13	-1	1	2022
OKLAHOMA	868	-28	68	1886	-496	-370	-21	-16	1	2022
OREGON	755	-61	-9	2861	-85	146	-3	5	1	2022
PENNSYLVANIA	1239	80	207	3064	-329	93	-10	3	1	2022
RHODE ISLAND	1182	69	162	3042	-172	170	-5	6	1	2022
SOUTH CAROLINA	670	4	60	1533	-227	-31	-13	-2	1	2022
SOUTH DAKOTA	1377	-126	193	3905	-791	-119	-17	-3	1	2022
TENNESSEE	926	37	128	2159	-305	-102	-12	-5	1	2022
TEXAS	494	-40	53	889	-437	-196	-33	-18	1	2022
UTAH	1164	-43	52	3572	-327	-52	-8	-1	1	2022
VERMONT	1592	105	254	4325	-284	198	-6	5	1	2022
VIRGINIA	991	49	121	2284	-364	4	-14	0	1	2022
WASHINGTON	869	-8	74	3161	-63	232	-2	8	1	2022
WEST VIRGINIA	1144	83	153	2736	-368	-55	-12	-2	1	2022
WISCONSIN	1583	70	270	4071	-459	-3	-10	0	1	2022
WYOMING	1238	-138	7	3939	-896	-341	-19	-8	1	2022
