STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	449	-231	-217	1510	-287	46	-16	3	1	2023
ALASKA	1393	-251	-100	6070	-575	-313	-9	-5	1	2023
ARIZONA	609	117	146	1627	272	575	20	55	1	2023
ARKANSAS	635	-201	-176	2047	-184	269	-8	15	1	2023
CALIFORNIA	552	68	133	1543	86	244	6	19	1	2023
COLORADO	1256	17	92	4070	-214	657	-5	19	1	2023
CONNECTICUT	834	-343	-366	2853	-577	-199	-17	-7	1	2023
DELAWARE	711	-285	-355	2397	-329	-28	-12	-1	1	2023
DISTRCT COLUMBIA	613	-304	-325	2011	-389	-34	-16	-2	1	2023
FLORIDA	136	-77	-53	325	-118	7	-27	2	1	2023
GEORGIA	501	-179	-162	1657	-148	133	-8	9	1	2023
HAWAII	0	0	0	0	0	-1	-999	-999	1	2023
IDAHO	1198	-14	-49	4127	-8	301	0	8	1	2023
ILLINOIS	1034	-291	-340	3396	-356	132	-9	4	1	2023
INDIANA	913	-314	-339	3158	-322	113	-9	4	1	2023
IOWA	1275	-186	-286	4104	-157	298	-4	8	1	2023
KANSAS	999	-126	-99	3164	8	547	0	21	1	2023
KENTUCKY	722	-281	-321	2518	-265	125	-10	5	1	2023
LOUISIANA	361	-128	-127	1184	3	238	0	25	1	2023
MAINE	1167	-289	-364	3632	-858	-497	-19	-12	1	2023
MARYLAND	726	-293	-347	2506	-327	41	-12	2	1	2023
MASSACHUSETTS	926	-283	-334	2995	-579	-174	-16	-5	1	2023
MICHIGAN	1051	-274	-350	3480	-465	11	-12	0	1	2023
MINNESOTA	1474	-246	-349	4765	-474	86	-9	2	1	2023
MISSISSIPPI	430	-211	-209	1429	-225	110	-14	8	1	2023
MISSOURI	920	-228	-250	3005	-191	332	-6	12	1	2023
MONTANA	1267	-114	17	4746	-176	404	-4	9	1	2023
NEBRASKA	1232	-93	1	3936	-26	722	-1	22	1	2023
NEVADA	886	122	157	2572	240	438	10	21	1	2023
NEW HAMPSHIRE	1078	-327	-410	3529	-797	-300	-18	-8	1	2023
NEW JERSEY	781	-310	-373	2681	-423	-50	-14	-2	1	2023
NEW MEXICO	950	10	36	3026	79	472	3	18	1	2023
NEW YORK	871	-317	-374	2809	-617	-89	-18	-3	1	2023
NORTH CAROLINA	599	-186	-209	2031	-123	130	-6	7	1	2023
NORTH DAKOTA	1590	-205	-128	5452	-222	484	-4	10	1	2023
OHIO	891	-308	-353	3064	-391	67	-11	2	1	2023
OKLAHOMA	728	-168	-140	2284	-98	398	-4	21	1	2023
OREGON	830	14	75	2874	-72	13	-2	0	1	2023
PENNSYLVANIA	860	-299	-379	3081	-312	17	-9	1	1	2023
RHODE ISLAND	856	-257	-326	2844	-370	-198	-12	-7	1	2023
SOUTH CAROLINA	475	-191	-195	1587	-173	54	-10	4	1	2023
SOUTH DAKOTA	1400	-103	23	4588	-108	683	-2	17	1	2023
TENNESSEE	647	-242	-279	2254	-210	95	-9	4	1	2023
TEXAS	374	-160	-120	1180	-146	291	-11	33	1	2023
UTAH	1189	-18	25	3899	0	327	0	9	1	2023
VERMONT	1176	-311	-416	4037	-572	-288	-12	-7	1	2023
VIRGINIA	704	-238	-287	2419	-229	135	-9	6	1	2023
WASHINGTON	841	-36	-28	3193	-31	32	-1	1	1	2023
WEST VIRGINIA	810	-251	-334	2838	-266	102	-9	4	1	2023
WISCONSIN	1218	-295	-365	4124	-406	53	-9	1	1	2023
WYOMING	1351	-25	113	4638	-197	699	-4	18	1	2023
