STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	0	0	0	0	0	0	-999	-999	7	2023
ALASKA	189	-40	-29	189	-40	-29	-17	-13	7	2023
ARIZONA	0	0	0	0	0	0	-999	-999	7	2023
ARKANSAS	0	0	0	0	0	0	-999	-999	7	2023
CALIFORNIA	0	-10	0	0	-10	0	-999	-999	7	2023
COLORADO	7	-26	7	7	-26	7	-999	-999	7	2023
CONNECTICUT	2	-2	-2	2	-2	-2	-999	-999	7	2023
DELAWARE	0	0	0	0	0	0	-999	-999	7	2023
DISTRCT COLUMBIA	0	0	0	0	0	0	-999	-999	7	2023
FLORIDA	0	0	0	0	0	0	-999	-999	7	2023
GEORGIA	0	0	0	0	0	0	-999	-999	7	2023
HAWAII	0	0	0	0	0	0	-999	-999	7	2023
IDAHO	0	-39	0	0	-39	0	-999	-999	7	2023
ILLINOIS	2	-3	0	2	-3	0	-999	-999	7	2023
INDIANA	3	-2	0	3	-2	0	-999	-999	7	2023
IOWA	23	12	16	23	12	16	-999	-999	7	2023
KANSAS	0	-2	-1	0	-2	-1	-999	-999	7	2023
KENTUCKY	0	-1	0	0	-1	0	-999	-999	7	2023
LOUISIANA	0	0	0	0	0	0	-999	-999	7	2023
MAINE	0	-35	-10	0	-35	-10	-999	-999	7	2023
MARYLAND	0	-1	0	0	-1	0	-999	-999	7	2023
MASSACHUSETTS	0	-7	0	0	-7	0	-999	-999	7	2023
MICHIGAN	0	-14	0	0	-14	0	-999	-999	7	2023
MINNESOTA	21	-11	18	21	-11	18	-999	-999	7	2023
MISSISSIPPI	0	0	0	0	0	0	-999	-999	7	2023
MISSOURI	0	-2	0	0	-2	0	-999	-999	7	2023
MONTANA	27	-62	18	27	-62	18	-999	-999	7	2023
NEBRASKA	16	5	11	16	5	11	-999	-999	7	2023
NEVADA	0	-5	0	0	-5	0	-999	-999	7	2023
NEW HAMPSHIRE	1	-17	-1	1	-17	-1	-999	-999	7	2023
NEW JERSEY	0	-1	0	0	-1	0	-999	-999	7	2023
NEW MEXICO	0	-5	0	0	-5	0	-999	-999	7	2023
NEW YORK	0	-8	0	0	-8	0	-999	-999	7	2023
NORTH CAROLINA	0	0	0	0	0	0	-999	-999	7	2023
NORTH DAKOTA	87	37	49	87	37	49	-999	-999	7	2023
OHIO	2	-4	-2	2	-4	-2	-999	-999	7	2023
OKLAHOMA	0	0	0	0	0	0	-999	-999	7	2023
OREGON	6	-57	-27	6	-57	-27	-999	-999	7	2023
PENNSYLVANIA	3	-5	0	3	-5	0	-999	-999	7	2023
RHODE ISLAND	5	0	-6	5	0	-6	-999	-999	7	2023
SOUTH CAROLINA	0	0	0	0	0	0	-999	-999	7	2023
SOUTH DAKOTA	40	4	32	40	4	32	-999	-999	7	2023
TENNESSEE	0	0	0	0	0	0	-999	-999	7	2023
TEXAS	0	0	0	0	0	0	-999	-999	7	2023
UTAH	0	-13	0	0	-13	0	-999	-999	7	2023
VERMONT	41	10	-30	41	10	-30	-999	-999	7	2023
VIRGINIA	0	-1	0	0	-1	0	-999	-999	7	2023
WASHINGTON	14	-63	-20	14	-63	-20	-999	-999	7	2023
WEST VIRGINIA	0	-5	0	0	-5	0	-999	-999	7	2023
WISCONSIN	32	9	3	32	9	3	-999	-999	7	2023
WYOMING	37	-22	32	37	-22	32	-999	-999	7	2023
