STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	0	-2	0	2277	-562	-94	-20	-4	6	2023
ALASKA	319	-9	126	10642	-550	395	-5	4	6	2023
ARIZONA	0	-4	0	2686	526	963	24	56	6	2023
ARKANSAS	0	-4	-1	3179	-327	93	-9	3	6	2023
CALIFORNIA	60	9	52	3100	466	790	18	34	6	2023
COLORADO	142	-3	78	7272	-136	785	-2	12	6	2023
CONNECTICUT	90	48	24	5243	-826	-235	-14	-4	6	2023
DELAWARE	10	0	9	4046	-694	-181	-15	-4	6	2023
DISTRCT COLUMBIA	0	-5	0	3216	-839	-229	-21	-7	6	2023
FLORIDA	0	0	0	419	-275	-25	-40	-6	6	2023
GEORGIA	2	-2	2	2500	-383	81	-13	3	6	2023
HAWAII	0	0	0	0	0	-1	-999	-999	6	2023
IDAHO	142	-2	-30	7364	456	239	7	3	6	2023
ILLINOIS	36	-2	10	5715	-639	-77	-10	-1	6	2023
INDIANA	54	23	23	5330	-564	-10	-10	0	6	2023
IOWA	29	-11	-7	6848	-211	42	-3	1	6	2023
KANSAS	7	-10	-14	5179	60	468	1	10	6	2023
KENTUCKY	4	-9	4	4017	-599	9	-13	0	6	2023
LOUISIANA	0	0	0	1723	-61	150	-3	10	6	2023
MAINE	150	25	15	6961	-1051	-484	-13	-7	6	2023
MARYLAND	6	-6	6	4149	-700	-96	-14	-2	6	2023
MASSACHUSETTS	87	25	47	5562	-845	-140	-13	-2	6	2023
MICHIGAN	53	-14	13	6259	-690	-137	-10	-2	6	2023
MINNESOTA	19	-73	-34	8377	-379	-191	-4	-2	6	2023
MISSISSIPPI	0	-1	0	2143	-420	-15	-16	-1	6	2023
MISSOURI	12	-6	1	4865	-353	108	-7	2	6	2023
MONTANA	185	-22	-29	8377	67	301	1	4	6	2023
NEBRASKA	18	-21	-15	6556	32	719	0	12	6	2023
NEVADA	0	-37	-1	4478	675	888	18	25	6	2023
NEW HAMPSHIRE	111	26	26	6565	-1023	-281	-13	-4	6	2023
NEW JERSEY	27	3	22	4698	-746	-124	-14	-3	6	2023
NEW MEXICO	16	-16	15	5109	273	660	6	15	6	2023
NEW YORK	32	-13	23	5102	-1014	-190	-17	-4	6	2023
NORTH CAROLINA	22	14	16	3203	-322	123	-9	4	6	2023
NORTH DAKOTA	55	-72	-63	9584	136	445	1	5	6	2023
OHIO	73	33	28	5299	-673	20	-11	0	6	2023
OKLAHOMA	2	-1	-1	3711	-39	303	-1	9	6	2023
OREGON	161	-1	-47	5547	397	44	8	1	6	2023
PENNSYLVANIA	88	47	34	5366	-543	-37	-9	-1	6	2023
RHODE ISLAND	117	59	31	5331	-558	-201	-9	-4	6	2023
SOUTH CAROLINA	4	2	4	2398	-397	25	-14	1	6	2023
SOUTH DAKOTA	38	-56	-37	7928	80	707	1	10	6	2023
TENNESSEE	14	6	8	3577	-423	-24	-11	-1	6	2023
TEXAS	0	0	0	1776	-221	139	-11	8	6	2023
UTAH	99	-7	27	7077	464	543	7	8	6	2023
VERMONT	172	75	18	7444	-666	-167	-8	-2	6	2023
VIRGINIA	8	-6	8	3893	-586	56	-13	1	6	2023
WASHINGTON	156	-10	-35	5713	200	-51	4	-1	6	2023
WEST VIRGINIA	34	-2	24	4685	-611	40	-12	1	6	2023
WISCONSIN	85	-4	-2	7227	-564	-169	-7	-2	6	2023
WYOMING	208	18	55	8458	154	842	2	11	6	2023
