STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	284	-62	-4	2095	-551	-109	-21	-5	3	2023
ALASKA	1305	-3	175	8710	-640	20	-7	0	3	2023
ARIZONA	419	144	184	2552	573	866	29	51	3	2023
ARKANSAS	414	-18	1	2949	-322	114	-10	4	3	2023
CALIFORNIA	542	184	242	2596	408	636	19	32	3	2023
COLORADO	1022	112	112	6162	-37	728	-1	13	3	2023
CONNECTICUT	773	-73	12	4478	-795	-255	-15	-5	3	2023
DELAWARE	631	-39	55	3669	-563	-77	-13	-2	3	2023
DISTRCT COLUMBIA	491	-72	43	3009	-696	-112	-19	-4	3	2023
FLORIDA	41	-37	9	412	-263	-19	-39	-4	3	2023
GEORGIA	315	-43	34	2274	-400	54	-15	2	3	2023
HAWAII	0	0	0	0	0	-1	-999	-999	3	2023
IDAHO	1060	260	253	6272	396	553	7	10	3	2023
ILLINOIS	817	-13	68	5101	-526	11	-9	0	3	2023
INDIANA	769	-2	87	4700	-533	-14	-10	0	3	2023
IOWA	971	71	82	6173	-131	248	-2	4	3	2023
KANSAS	733	92	88	4742	94	548	2	13	3	2023
KENTUCKY	579	-17	86	3664	-499	26	-12	1	3	2023
LOUISIANA	179	-23	-25	1619	-101	108	-6	7	3	2023
MAINE	984	-87	-31	5830	-965	-504	-14	-8	3	2023
MARYLAND	639	-30	63	3775	-567	-13	-13	0	3	2023
MASSACHUSETTS	842	-49	30	4761	-735	-186	-13	-4	3	2023
MICHIGAN	950	-1	42	5406	-615	-106	-10	-2	3	2023
MINNESOTA	1287	166	122	7421	-291	18	-4	0	3	2023
MISSISSIPPI	250	-56	-14	1992	-429	-47	-18	-2	3	2023
MISSOURI	691	30	68	4440	-292	209	-6	5	3	2023
MONTANA	1219	246	273	7114	124	663	2	10	3	2023
NEBRASKA	951	124	141	5933	112	862	2	17	3	2023
NEVADA	735	276	289	4055	710	847	21	26	3	2023
NEW HAMPSHIRE	955	-63	-6	5584	-946	-325	-14	-6	3	2023
NEW JERSEY	729	-34	55	4169	-618	-91	-13	-2	3	2023
NEW MEXICO	706	106	41	4543	284	473	7	12	3	2023
NEW YORK	809	-58	33	4471	-839	-152	-16	-3	3	2023
NORTH CAROLINA	430	-32	65	2870	-365	71	-11	3	3	2023
NORTH DAKOTA	1536	340	344	8404	124	690	1	9	3	2023
OHIO	777	-23	105	4600	-644	-11	-12	0	3	2023
OKLAHOMA	499	36	21	3398	-99	274	-3	9	3	2023
OREGON	843	238	215	4507	309	332	7	8	3	2023
PENNSYLVANIA	794	-15	71	4657	-519	-49	-10	-1	3	2023
RHODE ISLAND	791	-49	23	4497	-515	-232	-10	-5	3	2023
SOUTH CAROLINA	304	-50	39	2184	-436	-18	-17	-1	3	2023
SOUTH DAKOTA	1237	245	257	7043	174	917	3	15	3	2023
TENNESSEE	480	-25	45	3219	-433	-45	-12	-1	3	2023
TEXAS	172	-49	-63	1678	-236	85	-12	5	3	2023
UTAH	1057	263	242	6062	418	637	7	12	3	2023
VERMONT	1062	-35	52	6278	-705	-251	-10	-4	3	2023
VIRGINIA	573	-35	75	3542	-481	93	-12	3	3	2023
WASHINGTON	770	130	145	4764	204	232	4	5	3	2023
WEST VIRGINIA	682	-16	72	4171	-499	20	-11	0	3	2023
WISCONSIN	1043	23	38	6291	-476	-61	-7	-1	3	2023
WYOMING	1220	226	231	7069	120	946	2	15	3	2023
