STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	42	2	32	2277	-560	-94	-20	-4	5	2023
ALASKA	569	-22	83	10322	-541	270	-5	3	5	2023
ARIZONA	14	-26	14	2686	530	963	25	56	5	2023
ARKANSAS	41	-8	-5	3179	-323	94	-9	3	5	2023
CALIFORNIA	174	28	59	3040	457	738	18	32	5	2023
COLORADO	302	-97	-66	7130	-133	707	-2	11	5	2023
CONNECTICUT	250	18	61	5153	-874	-259	-15	-5	5	2023
DELAWARE	133	6	26	4036	-694	-190	-15	-4	5	2023
DISTRCT COLUMBIA	60	-13	3	3216	-834	-229	-21	-7	5	2023
FLORIDA	0	-1	0	419	-275	-25	-40	-6	5	2023
GEORGIA	63	17	41	2498	-381	79	-13	3	5	2023
HAWAII	0	0	0	0	0	-1	-999	-999	5	2023
IDAHO	244	-91	-242	7222	458	269	7	4	5	2023
ILLINOIS	149	-66	-14	5679	-637	-87	-10	-2	5	2023
INDIANA	171	-24	51	5276	-587	-33	-10	-1	5	2023
IOWA	146	-71	-62	6819	-200	49	-3	1	5	2023
KANSAS	94	-30	-47	5172	70	482	1	10	5	2023
KENTUCKY	79	-50	45	4013	-590	5	-13	0	5	2023
LOUISIANA	10	6	10	1723	-61	150	-3	10	5	2023
MAINE	353	-33	42	6811	-1076	-499	-14	-7	5	2023
MARYLAND	130	-1	38	4143	-694	-102	-14	-2	5	2023
MASSACHUSETTS	254	-22	54	5475	-870	-187	-14	-3	5	2023
MICHIGAN	266	-13	70	6206	-676	-150	-10	-2	5	2023
MINNESOTA	191	-112	-84	8358	-306	-157	-4	-2	5	2023
MISSISSIPPI	25	3	22	2143	-419	-15	-16	-1	5	2023
MISSOURI	97	-38	-23	4853	-347	107	-7	2	5	2023
MONTANA	295	-135	-231	8192	89	330	1	4	5	2023
NEBRASKA	132	-73	-78	6538	53	734	1	13	5	2023
NEVADA	96	-38	-15	4478	712	889	19	25	5	2023
NEW HAMPSHIRE	311	-9	75	6454	-1049	-307	-14	-5	5	2023
NEW JERSEY	185	2	60	4671	-749	-146	-14	-3	5	2023
NEW MEXICO	131	-34	57	5093	289	645	6	15	5	2023
NEW YORK	207	-26	52	5070	-1001	-213	-16	-4	5	2023
NORTH CAROLINA	114	44	60	3181	-336	107	-10	3	5	2023
NORTH DAKOTA	215	-124	-154	9529	208	508	2	6	5	2023
OHIO	220	2	90	5226	-706	-8	-12	0	5	2023
OKLAHOMA	57	7	-21	3709	-38	304	-1	9	5	2023
OREGON	270	-49	-195	5386	398	91	8	2	5	2023
PENNSYLVANIA	248	34	90	5278	-590	-71	-10	-1	5	2023
RHODE ISLAND	274	4	51	5214	-617	-232	-11	-4	5	2023
SOUTH CAROLINA	71	37	49	2394	-399	21	-14	1	5	2023
SOUTH DAKOTA	173	-118	-127	7890	136	744	2	10	5	2023
TENNESSEE	100	8	48	3563	-429	-32	-11	-1	5	2023
TEXAS	3	-7	2	1776	-221	139	-11	8	5	2023
UTAH	233	-79	-169	6978	471	516	7	8	5	2023
VERMONT	395	58	134	7272	-741	-185	-9	-2	5	2023
VIRGINIA	119	-4	40	3885	-580	48	-13	1	5	2023
WASHINGTON	210	-101	-218	5557	210	-16	4	0	5	2023
WEST VIRGINIA	170	-18	101	4651	-609	16	-12	0	5	2023
WISCONSIN	261	-49	6	7142	-560	-167	-7	-2	5	2023
WYOMING	366	-82	-154	8250	136	787	2	11	5	2023
