STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	335	-23	1	452	-74	-89	-14	-16	11	2023
ALASKA	1360	-4	101	3367	-62	290	-2	9	11	2023
ARIZONA	209	-81	-209	236	-137	-245	-37	-51	11	2023
ARKANSAS	425	-30	-69	582	-74	-117	-11	-17	11	2023
CALIFORNIA	248	-73	-133	348	-142	-106	-29	-23	11	2023
COLORADO	831	-106	-115	1520	-325	-58	-18	-4	11	2023
CONNECTICUT	709	28	149	1155	-80	104	-6	10	11	2023
DELAWARE	584	32	109	799	-81	-14	-9	-2	11	2023
DISTRCT COLUMBIA	486	9	106	673	-35	63	-5	10	11	2023
FLORIDA	52	-8	27	59	-11	19	-999	-999	11	2023
GEORGIA	351	-7	16	492	-35	-73	-7	-13	11	2023
HAWAII	0	0	0	0	0	0	-999	-999	11	2023
IDAHO	871	-20	-192	1567	-168	-55	-10	-3	11	2023
ILLINOIS	715	-38	7	1153	-120	-66	-9	-5	11	2023
INDIANA	663	-29	-11	1106	-81	-90	-7	-8	11	2023
IOWA	790	-86	-66	1339	-153	-133	-10	-9	11	2023
KANSAS	621	-44	-119	950	-67	-118	-7	-11	11	2023
KENTUCKY	535	-28	-21	763	-148	-171	-16	-18	11	2023
LOUISIANA	276	58	-19	361	78	-53	28	-13	11	2023
MAINE	912	52	164	1421	-353	38	-20	3	11	2023
MARYLAND	600	21	96	850	-85	-32	-9	-4	11	2023
MASSACHUSETTS	778	75	167	1166	-154	80	-12	7	11	2023
MICHIGAN	802	8	65	1330	-132	10	-9	1	11	2023
MINNESOTA	941	-121	-60	1615	-359	-116	-18	-7	11	2023
MISSISSIPPI	326	3	-17	424	-34	-82	-7	-16	11	2023
MISSOURI	603	-44	-68	925	-109	-132	-11	-12	11	2023
MONTANA	918	-123	-321	1894	-323	-113	-15	-6	11	2023
NEBRASKA	718	-133	-178	1232	-185	-164	-13	-12	11	2023
NEVADA	529	11	-163	724	-83	-123	-10	-15	11	2023
NEW HAMPSHIRE	870	28	152	1366	-329	4	-19	0	11	2023
NEW JERSEY	667	45	123	966	-105	13	-10	1	11	2023
NEW MEXICO	640	-26	-111	950	-132	-212	-12	-18	11	2023
NEW YORK	679	1	135	1053	-169	98	-14	10	11	2023
NORTH CAROLINA	460	27	66	685	9	1	1	0	11	2023
NORTH DAKOTA	1015	-160	-213	2001	-248	-106	-11	-5	11	2023
OHIO	685	-8	69	1153	-66	5	-5	0	11	2023
OKLAHOMA	438	-53	-122	644	-43	-105	-6	-14	11	2023
OREGON	626	-11	-146	1213	-98	77	-7	7	11	2023
PENNSYLVANIA	722	41	90	1183	-45	-18	-4	-1	11	2023
RHODE ISLAND	720	85	149	1151	5	87	0	8	11	2023
SOUTH CAROLINA	356	10	55	492	-12	-15	-2	-3	11	2023
SOUTH DAKOTA	824	-176	-223	1557	-250	-133	-14	-8	11	2023
TENNESSEE	470	-32	-36	697	-96	-150	-12	-18	11	2023
TEXAS	256	1	-45	329	7	-38	2	-10	11	2023
UTAH	817	-36	-196	1396	-134	-140	-9	-9	11	2023
VERMONT	943	57	155	1748	-83	55	-5	3	11	2023
VIRGINIA	568	30	88	798	-85	-49	-10	-6	11	2023
WASHINGTON	735	48	-83	1430	-44	117	-3	9	11	2023
WEST VIRGINIA	650	15	62	982	-130	-106	-12	-10	11	2023
WISCONSIN	852	-55	19	1512	-171	-78	-10	-5	11	2023
WYOMING	966	-77	-133	1946	-182	51	-9	3	11	2023
