STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	214	-144	-121	316	-210	-136	-40	-30	11	2024
ALASKA	1360	-4	0	3393	-36	26	-1	1	11	2024
ARIZONA	349	59	140	396	23	160	6	68	11	2024
ARKANSAS	318	-137	-107	431	-225	-151	-34	-26	11	2024
CALIFORNIA	358	37	110	432	-58	84	-12	24	11	2024
COLORADO	910	-27	79	1405	-440	-115	-24	-8	11	2024
CONNECTICUT	601	-80	-108	1089	-146	-66	-12	-6	11	2024
DELAWARE	458	-94	-126	665	-215	-134	-24	-17	11	2024
DISTRCT COLUMBIA	486	9	0	673	-35	0	-5	0	11	2024
FLORIDA	44	-16	-8	47	-23	-12	-999	-999	11	2024
GEORGIA	240	-118	-111	364	-163	-128	-31	-26	11	2024
HAWAII	0	0	0	0	0	0	-999	-999	11	2024
IDAHO	910	19	39	1552	-183	-15	-11	-1	11	2024
ILLINOIS	610	-143	-105	961	-312	-192	-25	-17	11	2024
INDIANA	559	-133	-104	932	-255	-174	-21	-16	11	2024
IOWA	754	-122	-36	1201	-291	-138	-20	-10	11	2024
KANSAS	584	-81	-37	806	-211	-144	-21	-15	11	2024
KENTUCKY	423	-140	-112	625	-286	-138	-31	-18	11	2024
LOUISIANA	138	-80	-138	187	-96	-174	-34	-48	11	2024
MAINE	733	-127	-179	1357	-417	-64	-24	-5	11	2024
MARYLAND	470	-109	-130	706	-229	-144	-24	-17	11	2024
MASSACHUSETTS	621	-82	-157	1093	-227	-73	-17	-6	11	2024
MICHIGAN	642	-152	-160	1062	-400	-268	-27	-20	11	2024
MINNESOTA	901	-161	-40	1415	-559	-200	-28	-12	11	2024
MISSISSIPPI	187	-136	-139	264	-194	-160	-42	-38	11	2024
MISSOURI	528	-119	-75	786	-248	-139	-24	-15	11	2024
MONTANA	1009	-32	91	1831	-386	-63	-17	-3	11	2024
NEBRASKA	703	-148	-15	1068	-349	-164	-25	-13	11	2024
NEVADA	625	107	96	780	-27	56	-3	8	11	2024
NEW HAMPSHIRE	716	-126	-154	1337	-358	-29	-21	-2	11	2024
NEW JERSEY	521	-101	-146	801	-270	-165	-25	-17	11	2024
NEW MEXICO	685	19	45	897	-185	-53	-17	-6	11	2024
NEW YORK	621	-57	-58	989	-233	-64	-19	-6	11	2024
NORTH CAROLINA	349	-84	-111	558	-118	-127	-17	-19	11	2024
NORTH DAKOTA	1063	-112	48	1801	-448	-200	-20	-10	11	2024
OHIO	581	-112	-104	998	-221	-155	-18	-13	11	2024
OKLAHOMA	368	-123	-70	461	-226	-183	-33	-28	11	2024
OREGON	704	67	78	1292	-19	79	-1	7	11	2024
PENNSYLVANIA	590	-91	-132	1051	-177	-132	-14	-11	11	2024
RHODE ISLAND	575	-60	-145	1094	-52	-57	-5	-5	11	2024
SOUTH CAROLINA	251	-95	-105	379	-125	-113	-25	-23	11	2024
SOUTH DAKOTA	895	-105	71	1395	-412	-162	-23	-10	11	2024
TENNESSEE	363	-139	-107	573	-220	-124	-28	-18	11	2024
TEXAS	150	-105	-106	167	-155	-162	-48	-49	11	2024
UTAH	934	81	117	1346	-184	-50	-12	-4	11	2024
VERMONT	791	-95	-152	1659	-172	-89	-9	-5	11	2024
VIRGINIA	431	-107	-137	652	-231	-146	-26	-18	11	2024
WASHINGTON	703	16	-32	1423	-51	-7	-3	0	11	2024
WEST VIRGINIA	505	-130	-145	804	-308	-178	-28	-18	11	2024
WISCONSIN	741	-166	-111	1292	-391	-220	-23	-15	11	2024
WYOMING	1018	-25	52	1855	-273	-91	-13	-5	11	2024
