STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	187	34	108	207	39	113	23	120	10	2022
ALASKA	880	-119	6	1819	-247	-46	-12	-2	10	2022
ARIZONA	63	-13	4	63	-20	4	-999	-999	10	2022
ARKANSAS	185	12	81	205	4	88	2	75	10	2022
CALIFORNIA	70	-49	-89	73	-96	-91	-57	-55	10	2022
COLORADO	514	-59	20	632	-276	43	-30	7	10	2022
CONNECTICUT	370	-51	123	491	-63	141	-11	40	10	2022
DELAWARE	297	12	205	338	10	238	3	238	10	2022
DISTRCT COLUMBIA	213	8	162	230	-1	179	0	351	10	2022
FLORIDA	15	5	12	15	5	12	-999	-999	10	2022
GEORGIA	201	47	101	230	61	116	36	102	10	2022
HAWAII	0	0	0	0	0	0	-999	-999	10	2022
IDAHO	451	-81	-57	559	-285	-137	-34	-20	10	2022
ILLINOIS	402	7	162	511	-9	205	-2	67	10	2022
INDIANA	401	25	179	522	27	222	5	74	10	2022
IOWA	468	23	135	616	0	183	0	42	10	2022
KANSAS	287	11	59	328	-24	78	-7	31	10	2022
KENTUCKY	323	36	171	378	30	204	9	117	10	2022
LOUISIANA	109	46	74	119	54	77	-999	-999	10	2022
MAINE	428	-151	14	635	-279	17	-31	3	10	2022
MARYLAND	335	32	228	378	22	258	6	215	10	2022
MASSACHUSETTS	374	-76	119	475	-142	163	-23	52	10	2022
MICHIGAN	463	-7	204	583	-85	257	-13	79	10	2022
MINNESOTA	553	-34	147	730	-182	202	-20	38	10	2022
MISSISSIPPI	147	21	78	163	28	84	21	106	10	2022
MISSOURI	325	23	106	386	-1	139	0	56	10	2022
MONTANA	552	-101	-61	768	-408	-167	-35	-18	10	2022
NEBRASKA	407	-5	63	500	-66	90	-12	22	10	2022
NEVADA	155	-66	-104	155	-134	-113	-46	-42	10	2022
NEW HAMPSHIRE	463	-102	118	644	-209	182	-25	39	10	2022
NEW JERSEY	353	-13	200	409	-40	235	-9	135	10	2022
NEW MEXICO	391	68	81	411	-5	63	-1	18	10	2022
NEW YORK	348	-57	165	411	-133	205	-24	100	10	2022
NORTH CAROLINA	247	32	131	290	47	145	19	100	10	2022
NORTH DAKOTA	601	-62	85	879	-195	144	-18	20	10	2022
OHIO	405	9	200	532	6	234	1	79	10	2022
OKLAHOMA	182	17	58	189	-7	55	-4	41	10	2022
OREGON	241	-154	-223	364	-310	-292	-46	-45	10	2022
PENNSYLVANIA	436	25	221	569	22	253	4	80	10	2022
RHODE ISLAND	346	-42	112	493	-18	138	-4	39	10	2022
SOUTH CAROLINA	181	33	88	206	48	101	30	96	10	2022
SOUTH DAKOTA	504	-29	70	643	-164	86	-20	15	10	2022
TENNESSEE	285	35	127	341	50	143	17	72	10	2022
TEXAS	65	3	34	66	-1	34	-999	-999	10	2022
UTAH	453	-25	-72	523	-154	-96	-23	-16	10	2022
VERMONT	524	-72	108	905	-40	169	-4	23	10	2022
VIRGINIA	323	32	218	367	22	248	6	208	10	2022
WASHINGTON	339	-111	-145	495	-292	-241	-37	-33	10	2022
WEST VIRGINIA	417	47	238	500	23	276	5	123	10	2022
WISCONSIN	510	-10	173	757	-19	236	-2	45	10	2022
WYOMING	597	-47	6	796	-289	7	-27	1	10	2022
