STATE	MONTH_TOTAL	MON_DEV_FROM_NORM	MON_DEV_FROM_L_YR	CUM_TOTAL	CUM_DEV_FROM_NORM	CUM_DEV_FROM_L_YR	CUM_DEV_FROM_NORM_PRCT	CUM_DEV_FROM_L_YR_PRCT	MONTH	YEAR
ALABAMA	2	-13	0	2	-13	0	-999	-999	9	2024
ALASKA	532	-6	0	1043	-23	26	-2	3	9	2024
ARIZONA	0	-7	0	0	-7	0	-999	-999	9	2024
ARKANSAS	16	-10	14	16	-12	14	-999	-999	9	2024
CALIFORNIA	16	-15	3	16	-34	3	-999	-999	9	2024
COLORADO	89	-154	-54	99	-236	-58	-70	-37	9	2024
CONNECTICUT	113	-2	7	142	9	11	7	8	9	2024
DELAWARE	9	-33	-13	11	-32	-11	-999	-999	9	2024
DISTRCT COLUMBIA	0	-19	0	0	-26	0	-999	-999	9	2024
FLORIDA	0	0	0	0	0	0	-999	-999	9	2024
GEORGIA	4	-11	-4	4	-11	-4	-999	-999	9	2024
HAWAII	0	0	0	0	0	0	-999	-999	9	2024
IDAHO	128	-95	-45	170	-142	-13	-46	-7	9	2024
ILLINOIS	56	-43	-14	87	-38	-3	-30	-3	9	2024
INDIANA	60	-36	-21	100	-19	-12	-16	-11	9	2024
IOWA	83	-48	1	140	-31	10	-18	8	9	2024
KANSAS	32	-34	11	41	-35	20	-999	-999	9	2024
KENTUCKY	11	-45	7	13	-48	9	-999	-999	9	2024
LOUISIANA	0	-2	0	0	-2	0	-999	-999	9	2024
MAINE	126	-116	11	144	-191	6	-57	4	9	2024
MARYLAND	14	-36	-25	17	-36	-22	-999	-999	9	2024
MASSACHUSETTS	75	-66	-29	85	-82	-23	-49	-21	9	2024
MICHIGAN	48	-100	-49	70	-128	-47	-65	-40	9	2024
MINNESOTA	66	-169	-30	92	-233	-32	-72	-26	9	2024
MISSISSIPPI	1	-8	1	1	-8	1	-999	-999	9	2024
MISSOURI	46	-27	10	61	-24	20	-999	-999	9	2024
MONTANA	172	-161	-65	267	-256	-30	-49	-10	9	2024
NEBRASKA	55	-67	-9	94	-60	2	-39	2	9	2024
NEVADA	5	-49	-8	5	-63	-8	-999	-999	9	2024
NEW HAMPSHIRE	123	-98	5	149	-139	6	-48	4	9	2024
NEW JERSEY	26	-51	-38	30	-53	-34	-999	-999	9	2024
NEW MEXICO	13	-64	-11	13	-80	-11	-999	-999	9	2024
NEW YORK	26	-87	-35	26	-113	-35	-81	-57	9	2024
NORTH CAROLINA	22	-5	-16	29	1	-10	-999	-999	9	2024
NORTH DAKOTA	113	-176	-49	241	-170	-78	-41	-24	9	2024
OHIO	69	-37	-28	99	-31	-24	-24	-20	9	2024
OKLAHOMA	12	-17	7	12	-19	7	-999	-999	9	2024
OREGON	135	-20	-45	206	-73	1	-26	0	9	2024
PENNSYLVANIA	92	-18	-22	131	-5	-6	-4	-4	9	2024
RHODE ISLAND	114	9	5	164	41	12	33	8	9	2024
SOUTH CAROLINA	4	-6	-4	4	-6	-4	-999	-999	9	2024
SOUTH DAKOTA	68	-129	-42	129	-145	-49	-53	-28	9	2024
TENNESSEE	28	-12	4	32	-9	6	-999	-999	9	2024
TEXAS	0	-5	0	0	-5	0	-999	-999	9	2024
UTAH	78	-86	-25	84	-115	-19	-58	-18	9	2024
VERMONT	205	-45	13	349	0	-8	0	-2	9	2024
VIRGINIA	10	-41	-17	13	-41	-14	-999	-999	9	2024
WASHINGTON	165	-22	-35	253	-84	7	-25	3	9	2024
WEST VIRGINIA	24	-66	-25	35	-72	-14	-67	-29	9	2024
WISCONSIN	101	-83	-17	185	-71	-12	-28	-6	9	2024
WYOMING	222	-82	-45	280	-161	-45	-37	-14	9	2024
